0.5			6.30E-08
1			3.15E-08
2			1.57E-08
3			1.05E-08
5			6.28E-09
10			3.17E-09
20			1.60E-09
30			1.08E-09
40			8.10E-10
50			6.47E-10
60			5.34E-10
70			4.49E-10
80			3.80E-10
90			3.21E-10
100			2.66E-10
120			1.60E-10
150			1.53E-10
160			1.96E-10
180			2.68E-10
200			3.36E-10
220			4.17E-10
240			5.17E-10
260			6.64E-10
280			9.27E-10
300			1.74E-09
310			1.13E-08
320			1.82E-09
340			1.14E-09
360			9.57E-10
380			8.97E-10
400			8.96E-10
420			6.64E-10
440			6.13E-10
460			7.34E-10
480			1.04E-09
500			1.49E-09
520			1.96E-09
540			2.53E-09
560			3.24E-09
580			4.15E-09
600			5.40E-09
620			6.96E-09
640			9.03E-09
660			1.17E-08
#130			9.16E-11
#140			9.04E-11
