#m_Ap [eV],\epsilon
# https://arxiv.org/pdf/2002.05165.pdf
4.088948226294856e-16,2.0
4.184288507901576e-16,2.0
4.2818517986524066e-16,2.0
4.3816899315141857e-16,2.0
4.483855948021182e-16,2.0
4.588404126454752e-16,2.0
4.695390010680054e-16,2.0
4.804870439655124e-16,2.0
4.9169035776280215e-16,2.0
5.031548945038046e-16,2.0
5.148867450137487e-16,2.0
5.268921421350666e-16,2.0
5.391774640387494e-16,2.0
5.517492376129117e-16,2.0
5.646141419303661e-16,2.0
5.777790117970495e-16,2.0
5.912508413831869e-16,2.0
6.050367879391212e-16,2.0
6.191441755977835e-16,2.0
6.335804992658242e-16,2.0
6.483534286054714e-16,2.0
6.634708121092337e-16,2.0
6.789406812696098e-16,2.0
6.947712548460226e-16,2.0
7.109709432312424e-16,2.0
7.275483529196218e-16,0.9923542853766987
7.445122910795128e-16,0.9795185540180731
7.618717702322984e-16,0.9678537903006548
7.796360130405221e-16,0.9571948923426697
7.978144572076613e-16,0.9465564082372656
8.164167604921455e-16,0.9350713307365973
8.354528058382854e-16,0.9243742835012763
8.549327066268367e-16,0.9142912593378998
8.748668120479896e-16,0.9046492947965632
8.952657125996383e-16,0.8931023124595201
9.161402457138502e-16,0.88141211123392
9.37501501514527e-16,0.8696637041036814
9.593608287093126e-16,0.8573281398009724
9.81729840618882e-16,0.8415379581485174
1.004620421346811e-15,0.8250290227285599
1.0280447320933077e-15,0.8054817242279717
1.052015217616157e-15,0.7828767457292479
1.0765446128423137e-15,0.7558544060332597
1.1016459496336546e-15,0.7251959221064942
1.1273325637104848e-15,0.6901723134127886
1.153618101736476e-15,0.6511725937083347
1.1805165285688031e-15,0.6096782242304128
1.2080421346773265e-15,0.5667330719560104
1.2362095437367666e-15,0.5236313809778955
1.2650337203959012e-15,0.48211729383463453
1.2945299782279135e-15,0.44373113486361987
1.3247139878661147e-15,0.4075936549937667
1.355601785329366e-15,0.3753892419178207
1.3872097805416182e-15,0.3467303873708797
1.4195547660500986e-15,0.32103221205570487
1.4526539259467782e-15,0.29863110984139973
1.4865248449978542e-15,0.27890329908905853
1.5211855179861018e-15,0.26145098900609764
1.5566543592710588e-15,0.24633361935573572
1.5929502125721198e-15,0.233189290789265
1.6300923609797378e-15,0.2217616828873616
1.6681005372000557e-15,0.21187865914331094
1.7069949340384044e-15,0.20343897790513174
1.746796215127242e-15,0.1964056305242889
1.787525525904232e-15,5.061575483175616e-05
1.82920450484629e-15,3.134825860095261e-05
1.8718552949655754e-15,2.432876345319602e-05
1.915500555573524e-15,2.038815880952275e-05
1.9601634743191815e-15,1.7757620481045304e-05
2.00586777950823e-15,1.58502820967e-05
2.052637752709248e-15,1.4362150815151097e-05
2.100498241653911e-15,1.3166199495484255e-05
2.1494746734379763e-15,1.2183370550759015e-05
2.19959306803007e-15,1.1340826873961388e-05
2.250880052095457e-15,1.0615332041223529e-05
2.3033628731421268e-15,9.984287834714669e-06
2.357069413996723e-15,9.430712711566274e-06
2.412028207618002e-15,8.930912151470356e-06
2.4682684522556875e-15,8.478789208326211e-06
2.5258200269627795e-15,8.075272114250444e-06
2.5847135074695586e-15,7.700623518077351e-06
2.6449801824277145e-15,7.358107470153955e-06
2.706652070033236e-15,7.040734717076446e-06
2.769761935036885e-15,6.747013435811451e-06
2.8343433061513035e-15,6.47866039085911e-06
2.900430493863986e-15,6.231496898805541e-06
2.9680586086655962e-15,5.995886253744807e-06
3.037263579703305e-15,5.772477354016668e-06
3.1080821738690577e-15,5.567399444252726e-06
3.180552015332913e-15,5.377753558808981e-06
3.2547116055318414e-15,5.190400754427117e-06
3.3306003436245816e-15,5.015779188135693e-06
3.408258547423445e-15,4.855251684492397e-06
3.4877274748141704e-15,4.697606746936306e-06
3.569049345675222e-15,4.549480754716605e-06
3.652267364308168e-15,4.41194814067882e-06
3.737425742391057e-15,4.274912712030805e-06
3.824569722466991e-15,4.150366291010372e-06
3.913745601980376e-15,4.026756755075076e-06
4.005000757873603e-15,3.9117132146105905e-06
4.098383671757253e-15,3.8012120996885333e-06
4.193943955667178e-15,3.6936414062727575e-06
4.2917323784221484e-15,3.595232266531182e-06
4.391800892596077e-15,3.4936317623234473e-06
4.494202662119133e-15,3.402891729365076e-06
4.5989920905224285e-15,3.3106069723904504e-06
4.706224849841272e-15,3.2262897117471173e-06
4.815957910192341e-15,3.1406927368557254e-06
4.928249570040503e-15,3.0624605231225428e-06
5.043159487171348e-15,2.9835415415601235e-06
5.160748710385897e-15,2.9111367139798914e-06
5.28107971193432e-15,2.8379206209876546e-06
5.404216420705904e-15,2.7703047828400082e-06
5.530224256192889e-15,2.7020506751451406e-06
5.6591701632462305e-15,2.639831849783555e-06
5.7911226476417465e-15,2.5758143166196218e-06
5.92615181247554e-15,2.5178566139109023e-06
6.064329395408049e-15,2.4571808236875756e-06
6.205728806776488e-15,2.402507834864736e-06
6.350425168595949e-15,2.3468115090679005e-06
6.4984953544698754e-15,2.294448073746743e-06
6.650018030431105e-15,2.2430068064719607e-06
6.805073696735193e-15,2.193654447949897e-06
6.9637447306282076e-15,2.1463775700132396e-06
7.12611543011173e-15,2.098728313332271e-06
7.292272058728297e-15,2.055656519573151e-06
7.462302891391092e-15,2.0097716325309544e-06
7.636298261282226e-15,1.9679991019715155e-06
7.814350607844525e-15,1.9260390394780117e-06
7.99655452589233e-15,1.8857750340472097e-06
8.183006815867373e-15,1.8480040168351475e-06
8.373806535266473e-15,1.8086772381556332e-06
8.56905505126833e-15,1.772950412427507e-06
8.768856094587409e-15,1.736114802999746e-06
8.9733158145835e-15,1.7013922279145182e-06
9.182542835656263e-15,1.6681746622563865e-06
9.396648314954672e-15,1.6340336655057437e-06
9.615746001432076e-15,1.6028984916654512e-06
9.839952296278206e-15,1.5709254544995344e-06
1.006938631476025e-14,1.5401911753119914e-06
1.0304169949505854e-14,1.5116143079256664e-06
1.0544427935261662e-14,1.481432910738118e-06
1.0790287915161814e-14,1.4536207343079115e-06
1.104188050854158e-14,1.4262285259810065e-06
1.1299339380332193e-14,1.3988137825336935e-06
1.156280131207373e-14,1.3735195297898077e-06
1.1832406274583756e-14,1.3471578917909948e-06
1.210829750232037e-14,1.3221523368111561e-06
1.2390621569479131e-14,1.2989002295795796e-06
1.2679528467864313e-14,1.273938721002765e-06
1.2975171686575842e-14,1.2511690810466912e-06
1.3277708293554264e-14,1.228914130966934e-06
1.3587299019027064e-14,1.2059639145217333e-06
1.3904108340900667e-14,1.184863172628943e-06
1.422830457214349e-14,1.163628899217111e-06
1.4560059950206455e-14,1.1424633485066814e-06
1.4899550728528505e-14,1.1229766854610395e-06
1.52469572701757e-14,1.1027863890308427e-06
1.560246414366365e-14,1.0830769744033638e-06
1.5966260221014218e-14,1.0650195622788494e-06
1.6338538778098638e-14,1.0457651279955738e-06
1.6719497597319917e-14,1.0275710839286405e-06
1.710933907269017e-14,1.010689120223811e-06
1.750827031735727e-14,9.925841002456516e-07
1.7916503273639032e-14,9.756251412841983e-07
1.8334254825622925e-14,9.599540642097552e-07
1.8761746914391235e-14,9.42989065464261e-07
1.9199206655932867e-14,9.271917625610957e-07
1.9646866461804484e-14,9.125718641935129e-07
2.010496416260501e-14,8.966685181293413e-07
2.057374313432916e-14,8.818923795526413e-07
2.1053452427667084e-14,8.681994554556632e-07
2.1544346900318866e-14,8.534327895395437e-07
2.204668735239412e-14,8.394932219527501e-07
2.2560740664968637e-14,8.265665626660241e-07
2.308677994187172e-14,8.128640442992135e-07
2.36250846547795e-14,7.997406610924339e-07
2.4175940791691332e-14,7.875057031166667e-07
2.4739641008868168e-14,7.748694562909492e-07
2.531648478631358e-14,7.62426241504544e-07
2.5906778586880116e-14,7.508660045116611e-07
2.6510836019085417e-14,7.392963143318817e-07
2.71289780037247e-14,7.274642912319766e-07
2.7761532944368035e-14,7.164633151131274e-07
2.8408836901833067e-14,7.059539417915836e-07
2.907123377272581e-14,6.946715893852957e-07
2.9749075472144437e-14,6.841724931991615e-07
3.044272212064306e-14,6.743952338036215e-07
3.115254223555491e-14,6.639616402555674e-07
3.187891292677649e-14,6.542934579827883e-07
3.262222009711673e-14,6.454177835139985e-07
3.3382858647317646e-14,6.367336386561498e-07
3.416123268585532e-14,6.275250266827216e-07
3.4957755743632787e-14,6.189065919953056e-07
3.577285099367877e-14,6.108350717486141e-07
3.660695147596906e-14,6.024835998531866e-07
3.7460500327489966e-14,5.940858827210844e-07
3.8333951017666055e-14,5.862140571159499e-07
3.922776758927723e-14,5.788304314132348e-07
4.014242490499326e-14,5.708730703076129e-07
4.107840889965651e-14,5.631696948120187e-07
4.2036216838447184e-14,5.55938045309721e-07
4.3016357581067997e-14,5.491451483684783e-07
4.401935185208879e-14,5.416303269582923e-07
4.504573251759463e-14,5.345246428061433e-07
4.6096044868284386e-14,5.278451306344915e-07
4.717084690917022e-14,5.215340937926422e-07
4.827070965603188e-14,5.145303249056331e-07
4.939621743878326e-14,5.079422866768374e-07
5.054796821191246e-14,5.01741822262013e-07
5.1726573872160246e-14,4.959029874261575e-07
5.293266058360567e-14,4.893872398682457e-07
5.4166869110331576e-14,4.832499917381275e-07
5.5429855156846744e-14,4.774672682162516e-07
5.6722289716445495e-14,4.720157887725474e-07
5.804485942768984e-14,4.6604649809716275e-07
5.939826693920362e-14,4.6030324359343544e-07
6.078323128297236e-14,4.5488597904989044e-07
6.220048825634718e-14,4.49773672909479e-07
6.365079081295578e-14,4.443776886684271e-07
6.513490946272809e-14,4.389793856731044e-07
6.665363268124921e-14,4.338822918135852e-07
6.820776732865692e-14,4.290672606015398e-07
6.979813907830667e-14,4.2426942258980767e-07
7.142559285543134e-14,4.191731673289911e-07
7.309099328602919e-14,4.143565040991781e-07
7.479522515621829e-14,4.098019149276853e-07
7.653919388230155e-14,4.0549316759766816e-07
7.832382599179204e-14,4.007941125529591e-07
8.015006961565413e-14,3.9622282186352627e-07
8.201889499202212e-14,3.918961482712999e-07
8.393129498166373e-14,3.877991200736504e-07
8.588828559546258e-14,3.8376511280462005e-07
8.789090653419963e-14,3.79407785440852e-07
8.994022174092054e-14,3.7527969223819933e-07
9.20373199661823e-14,3.713669865744528e-07
9.418331534647961e-14,3.6765681788939327e-07
9.637934799615795e-14,3.638478730007684e-07
9.862658461312831e-14,3.5989197992638867e-07
1.0092621909870484e-13,3.5613904963062477e-07
1.0327947319189525e-13,3.5257707019397484e-07
1.0568759711848051e-13,3.4919558969809254e-07
1.0815187025522892e-13,3.4568362358089755e-07
1.1067360180959746e-13,3.420684847194268e-07
1.1325413151528126e-13,3.3863457037015495e-07
1.1589483034398117e-13,3.353714200663182e-07
1.1859710123376706e-13,3.3226928320416553e-07
1.2136237983442418e-13,3.2911923740014335e-07
1.2419213527017847e-13,3.257944049823981e-07
1.2708787092020595e-13,3.2263173967825314e-07
1.3005112521734098e-13,3.196216584698151e-07
1.3308347246540762e-13,3.167553844938161e-07
1.3618652367560827e-13,3.140212884254261e-07
1.3936192742241435e-13,3.1094008238698917e-07
1.4261137071941298e-13,3.080074231763948e-07
1.4593657991557577e-13,3.052157446038733e-07
1.4933932161242532e-13,3.0255677072001386e-07
1.528214036025871e-13,3.000220281138736e-07
1.563846758302248e-13,2.974373392331933e-07
1.6003103137387019e-13,2.947036803104683e-07
1.637624074521689e-13,2.920958101909539e-07
1.6758078645307687e-13,2.896066834713293e-07
1.714881969870541e-13,2.872293183162971e-07
1.754867149648152e-13,2.8495816270221486e-07
1.7957846470020968e-13,2.832271464229606e-07
1.8376562003881725e-13,2.8146092080955543e-07
1.8805040551285835e-13,2.797761644869377e-07
1.9243509752303324e-13,2.781618531257162e-07
1.9692202554791736e-13,2.7660878351894555e-07
2.0151357338155586e-13,2.7511242985419313e-07
2.0621218039991446e-13,2.7367568191351424e-07
2.1102034285685965e-13,2.723220432085922e-07
2.1594061521035675e-13,2.7105065642591705e-07
2.2097561147959032e-13,2.6985115938298067e-07
2.2612800663372792e-13,2.684999929877454e-07
2.314005380130654e-13,2.6713433404056317e-07
2.3679600678330787e-13,2.657968604479979e-07
2.4231727942376006e-13,2.6451970734208086e-07
2.4796728925021603e-13,2.633248934847743e-07
2.537490379733572e-13,2.622022361821793e-07
2.5966559729348723e-13,2.6114559434980066e-07
2.6572011053245066e-13,2.6011060122086133e-07
2.719157943036019e-13,2.5911062289651743e-07
2.782559402207126e-13,2.5814677182696055e-07
2.8474391664672476e-13,2.5722940004601345e-07
2.9138317048327885e-13,2.563559814164302e-07
2.981772290019673e-13,2.554450276695213e-07
3.051297017182871e-13,2.545612747045072e-07
3.122442823092858e-13,2.537039455938752e-07
3.1952475057592137e-13,2.528892437323068e-07
3.269749744511768e-13,2.5213927846191196e-07
3.3459891205499747e-13,2.513945601640792e-07
3.424006137971426e-13,2.5070890924522293e-07
3.503842245290676e-13,2.501557540352449e-07
3.585539857459817e-13,2.493521399603412e-07
3.669142378402494e-13,2.4873209977734063e-07
3.7546942240733367e-13,2.482558535402899e-07
3.842240846055061e-13,2.47779898268777e-07
3.93182875570577e-13,2.4727466948866407e-07
4.023505548869293e-13,2.4655264191156526e-07
4.117319931161679e-13,2.4645233946494004e-07
4.213321743847289e-13,2.458055521939555e-07
4.3115619903182284e-13,2.454430170465405e-07
4.41209286319119e-13,2.448220961772082e-07
4.5149677720361016e-13,2.4528246160869653e-07
4.620241371751313e-13,2.44920919027508e-07
4.727969591600391e-13,2.448840268479191e-07
4.838209664925957e-13,2.4482566961095747e-07
4.951020159556351e-13,2.4537411695255253e-07
5.066461008921268e-13,2.4409060315406336e-07
5.184593543892913e-13,2.4357797416471643e-07
5.305480525369575e-13,2.4364304470509914e-07
5.429186177618943e-13,2.436045944124472e-07
5.555776222398878e-13,2.4355627624745097e-07
5.685317913873753e-13,2.43022803554009e-07
5.817880074344935e-13,2.44224572715915e-07
5.95353313081437e-13,2.4433605312573935e-07
6.092349152400711e-13,2.445006601600364e-07
6.234401888627863e-13,2.447229799709871e-07
6.379766808606282e-13,2.4501346259569525e-07
6.528521141127847e-13,2.4535850886941824e-07
6.680743915695615e-13,2.4538680358285094e-07
6.836516004510239e-13,2.4574492890330295e-07
6.995920165435374e-13,2.460922927805298e-07
7.159041085964888e-13,2.46560521936052e-07
7.32596542821523e-13,2.4701358498409973e-07
7.496781874966877e-13,2.47511902948586e-07
7.671581176779303e-13,2.479481570710718e-07
7.850456200204509e-13,2.4757782914956904e-07
8.033501977124734e-13,2.4961734629502935e-07
8.220815755240541e-13,2.5034280655350164e-07
8.412497049736119e-13,2.5113843974503346e-07
8.608647696149245e-13,2.5200527249172475e-07
8.809371904473991e-13,2.529409630981654e-07
9.014776314524917e-13,2.538316973544144e-07
9.224970052592174e-13,2.5482731951193896e-07
9.440064789417603e-13,2.5535987700084683e-07
9.660174799522646e-13,2.5795782088673126e-07
9.885417021919573e-13,2.5916276814516396e-07
1.0115911122238297e-12,2.60477899241427e-07
1.0351779556301762e-12,2.617955110579237e-07
1.05931476351837e-12,2.633563755810451e-07
1.0840143591783309e-12,2.6493103337038434e-07
1.1092898648952228e-12,2.66792323046036e-07
1.135154708920999e-12,2.6869095461613867e-07
1.161622632608502e-12,2.706215206055215e-07
1.1887076977119033e-12,2.726564810717405e-07
1.216424293857368e-12,2.7400893628238576e-07
1.2447871461879062e-12,2.7619857689404467e-07
1.2738113231864786e-12,2.785928519109124e-07
1.303512244681509e-12,2.812152435011596e-07
1.3339056900390586e-12,2.840356216008834e-07
1.3650078065460137e-12,2.8670202528213204e-07
1.3968351179887397e-12,2.896365762043968e-07
1.4294045334317611e-12,2.926543811197009e-07
1.4627333562011298e-12,2.9644109521912496e-07
1.4968392930772555e-12,3.0010173545316833e-07
1.5317404637020798e-12,3.0380801576402554e-07
1.567455410205595e-12,3.079346747266356e-07
1.60400310705682e-12,3.1283875351649694e-07
1.6414029711444665e-12,3.1769125105065513e-07
1.6796748720926532e-12,3.226558999593065e-07
1.7188391428171455e-12,3.2861861896502316e-07
1.7589165903277327e-12,3.343124825008623e-07
1.7999285067824764e-12,3.404985391448262e-07
1.8418966807997108e-12,3.4717709942036395e-07
1.8848434090337956e-12,3.541415441314622e-07
1.9287915080207778e-12,3.6170237138490065e-07
1.9737643263002556e-12,3.6929467809438183e-07
2.0197857568198786e-12,3.7797873120609207e-07
2.066880249629082e-12,3.8718352595242553e-07
2.1150728248687947e-12,3.968611222129138e-07
2.1643890860640202e-12,4.079023601132822e-07
2.2148552337263594e-12,4.198117587625313e-07
2.2664980792736926e-12,4.331304871124243e-07
2.3193450592744276e-12,4.485119104327079e-07
2.373424250023866e-12,4.651311006161377e-07
2.4287643824604505e-12,4.830451109984838e-07
2.4853948574297986e-12,5.051636960468607e-07
2.543345761304648e-12,5.309349700789954e-07
2.6026478819690043e-12,5.635951392078536e-07
2.6633327251749807e-12,6.00800888911605e-07
2.725432531281028e-12,6.459894014845315e-07
2.7889802923804394e-12,7.075094297738605e-07
2.8540097698292376e-12,7.836641744361096e-07
2.920555512182745e-12,8.894949205090544e-07
2.9886528735503828e-12,1.0549412230699365e-06
3.058338032378432e-12,1.3621660081228592e-06
3.1296480106707504e-12,2.4111695526259654e-06
3.2026206936576503e-12,2.463818460912809e-06
3.277294849923382e-12,2.449480052239152e-06
3.353710152002929e-12,2.4367459241232946e-06
3.4319071974590426e-12,2.4244390336735005e-06
3.5119275304507278e-12,2.413234316634643e-06
3.5938136638046255e-12,2.4019870397576372e-06
3.677609101601031e-12,2.392005209013103e-06
3.763358362286533e-12,2.3806033094249083e-06
3.851107002325569e-12,2.369439648031412e-06
3.940901640403448e-12,2.3592824100107573e-06
4.032789982193706e-12,2.349117829989943e-06
4.1268208457029515e-12,2.3393189274981985e-06
4.2230441872066725e-12,2.3298464022388985e-06
4.321511127789762e-12,2.320789573476667e-06
4.422273980505897e-12,2.311756485741953e-06
4.525386278170167e-12,2.3029672058065695e-06
4.630902801799737e-12,2.2941141364570935e-06
4.7388796097176515e-12,2.285493521513345e-06
4.849374067335233e-12,2.2773067476462296e-06
4.962444877628913e-12,2.2679785103281595e-06
5.07815211232767e-12,2.2584625427946206e-06
5.196557243827658e-12,2.2486414892854285e-06
5.317723177850967e-12,2.2393489966534357e-06
5.441714286865888e-12,2.229434462047052e-06
5.568596444286409e-12,2.220296811813962e-06
5.698437059469136e-12,2.211007236667648e-06
5.831305113526219e-12,2.201724518510531e-06
5.96727119597331e-12,2.1926982477882983e-06
6.106407542232037e-12,2.1833118237709695e-06
6.248788072006888e-12,2.1738125053247484e-06
6.394488428556937e-12,2.1651433536193326e-06
6.543586018883229e-12,2.154890199275432e-06
6.696160054853216e-12,2.144186540255221e-06
6.852291595284057e-12,2.133867152054789e-06
7.012063589007177e-12,2.1232164237909956e-06
7.1755609189369215e-12,2.112537043436406e-06
7.342870447166758e-12,2.1018684850651843e-06
7.514081061116962e-12,2.0916747488067588e-06
7.689283720758306e-12,2.0809041621545546e-06
7.868571506936844e-12,2.0713358124169772e-06
8.05203967082547e-12,2.060382402619258e-06
8.239785684528512e-12,2.049234460305951e-06
8.431909292866251e-12,2.0376519132117645e-06
8.628512566366887e-12,2.0256400251461894e-06
8.829699955494083e-12,2.014062029472918e-06
9.03557834613892e-12,2.002178645593013e-06
9.246257116405733e-12,1.9906268721306647e-06
9.461848194721993e-12,1.9787140617621936e-06
9.682466119303114e-12,1.967839937103048e-06
9.908228099003788e-12,1.956347432536676e-06
1.0139254075588143e-11,1.94389195256298e-06
1.037566678745185e-11,1.9313818967885714e-06
1.0617591834829991e-11,1.91833513347913e-06
1.0865157746525373e-11,1.9056031966240028e-06
1.1118496048192698e-11,1.892757293952199e-06
1.1377741332214903e-11,1.8798423704666185e-06
1.1643031329208755e-11,1.8674070438272182e-06
1.1914506981197748e-11,1.8558113061192311e-06
1.2192312516491095e-11,1.840445414840483e-06
1.2476595526308684e-11,1.8270949285796984e-06
1.2767507043192645e-11,1.8122498151279195e-06
1.30652016212472e-11,1.799010161710587e-06
1.3369837418249452e-11,1.7858711154221196e-06
1.3681576279674706e-11,1.771612744071422e-06
1.400058382468096e-11,1.7576475574993134e-06
1.4327029534098293e-11,1.7426950026120812e-06
1.466108684046983e-11,1.7273583313596437e-06
1.5002933220192167e-11,1.7125230809602882e-06
1.5352750287804212e-11,1.6978869732791928e-06
1.571072389247449e-11,1.6839974473676604e-06
1.607704421673822e-11,1.6689897140048349e-06
1.645190587753661e-11,1.6519214397248732e-06
1.6835508029612008e-11,1.6356774329025163e-06
1.7228054471313922e-11,1.6209127740721591e-06
1.762975375287204e-11,1.6054804602379023e-06
1.804081928719381e-11,1.5900691873538215e-06
1.8461469463245456e-11,1.5728325300301186e-06
1.8891927762076645e-11,1.5555121227584512e-06
1.9332422875550434e-11,1.5399641170226753e-06
1.9783188827841624e-11,1.5229843517330902e-06
2.0244465099768016e-11,1.5068398004020839e-06
2.071649675602067e-11,1.4892452540469397e-06
2.1199534575360688e-11,1.4722602080119412e-06
2.169383518385182e-11,1.455320890422265e-06
2.2199661191199525e-11,1.438573318394009e-06
2.2717281330269028e-11,1.4208404170135584e-06
2.3246970599856455e-11,1.4024244687902345e-06
2.3789010410788907e-11,1.3855982259198758e-06
2.434368873543108e-11,1.3688707451215677e-06
2.491130026067786e-11,1.3507049592223662e-06
2.5492146544514203e-11,1.3329696656807957e-06
2.608653617622556e-11,1.3154422808193572e-06
2.669478494034329e-11,1.2987181887525505e-06
2.7317215984413847e-11,1.2799389175787275e-06
2.795415999067865e-11,1.2620922617670643e-06
2.8605955351757508e-11,1.2451519915265536e-06
2.927294835042825e-11,1.2269072006014412e-06
2.9955493343598227e-11,1.20924177698282e-06
3.065395295056536e-11,1.191477535125967e-06
3.1368698245668863e-11,1.1751767364214369e-06
3.2100108955431815e-11,1.1562920368705902e-06
3.2848573660300535e-11,1.1386657595828603e-06
3.3614490001087757e-11,1.1218783199239546e-06
3.439826489022935e-11,1.1037805078361357e-06
3.5200314727966895e-11,1.0870969361678652e-06
3.602106562357081e-11,1.069905330578428e-06
3.686095362172169e-11,1.0526606035274233e-06
3.772042493417009e-11,1.0354912409479597e-06
3.8599936176797794e-11,1.0192393802496912e-06
3.949995461220655e-11,1.0027984062067166e-06
4.042095839796318e-11,9.85537631886932e-07
4.136343684063286e-11,9.697585477386325e-07
4.232789065573562e-11,9.531741774040319e-07
4.331483223376412e-11,9.366464101827023e-07
4.43247859124041e-11,9.211442025806368e-07
4.5358288255102e-11,9.054555844078111e-07
4.6415888336127916e-11,8.895553550877285e-07
4.7498148032285145e-11,8.742168092355639e-07
4.8605642321421486e-11,8.590561370085673e-07
4.973895958790078e-11,8.432323657123621e-07
5.089870193519695e-11,8.284795294215552e-07
5.2085485505776764e-11,8.13563142612266e-07
