#m_Ap [eV],\epsilon
# https://arxiv.org/pdf/2002.05165.pdf
7.752597488629465e-14,1.6617068687384174e-14
8.603464416684527e-14,1.475118556541543e-14
9.547716114208067e-14,1.3129972551370886e-14
1.0595601792776148e-13,1.1718443844603758e-14
1.1758495540521582e-13,1.0486975915230873e-14
1.3049019780144016e-13,9.410438754020655e-15
1.448118227674536e-13,8.46747474067123e-15
1.6070528182616384e-13,7.639898988702053e-15
1.7834308769319056e-13,6.912199828307563e-15
1.9791668678535574e-13,6.271121979487196e-15
2.1963853724165515e-13,5.705318125087503e-15
2.437444150122222e-13,5.20505715968336e-15
2.7049597304631315e-13,4.761979479586602e-15
3.001835813575592e-13,4.3688913831470585e-15
3.331294787934684e-13,4.019592042307892e-15
3.696912707195032e-13,3.708727645113041e-15
4.10265810582719e-13,3.4316682420672853e-15
4.552935074866939e-13,3.1844035952540353e-15
5.052631065335679e-13,2.9634549588924018e-15
5.60716993820547e-13,2.7658002386229278e-15
6.222570836730231e-13,2.5888104045580705e-15
6.905513520162316e-13,2.430195386503557e-15
7.663410868007463e-13,2.287957972150329e-15
8.504489341802703e-13,2.160354471364867e-15
9.437878277775391e-13,2.0619900994715076e-15
1.0473708979594487e-12,2.087874725581927e-15
1.1623224686798543e-12,2.129512172697922e-15
1.289890261253308e-12,2.234903751326198e-15
1.4314589375234814e-12,2.3275337837192377e-15
1.5885651294280527e-12,2.45629572142796e-15
1.7629141180959445e-12,2.637116875065876e-15
1.9563983435170647e-12,2.900107718888521e-15
2.1711179456945097e-12,3.161766952992185e-15
2.409403560239527e-12,3.7830086662976235e-15
2.673841615839944e-12,4.638513583761274e-15
2.9673024081888726e-12,8.863888283225543e-15
3.2929712550971614e-12,2.0
3.6543830709572616e-12,2.0
4.055460735840827e-12,2.0
4.500557675700488e-12,2.0
4.99450511585514e-12,2.0
5.542664520663118e-12,2.0
6.150985788580504e-12,2.0
6.8260718342723785e-12,2.0
7.57525025877192e-12,2.0
8.40665288561835e-12,2.0
9.329304026284695e-12,2.0
1.0353218432956616e-11,2.0
1.1489510001873062e-11,2.0
1.2750512407130129e-11,2.0
1.4149912974345787e-11,2.0
1.5702901247293776e-11,2.0
1.7426333860096473e-11,2.0
1.933891750455232e-11,2.0
2.1461411978584104e-11,2.0
2.3816855519761606e-11,2.0
2.643081486974103e-11,2.0
2.933166278390048e-11,2.0
3.2550885998350564e-11,2.0
3.612342699709438e-11,2.0
4.0088063288984646e-11,2.0
4.448782831127576e-11,2.0
4.9370478528390036e-11,2.0
5.478901179593956e-11,2.0
6.080224261649427e-11,2.0
6.747544053110686e-11,2.0
7.48810385759003e-11,2.0
8.309941949353421e-11,2.0
9.221978823334341e-11,2.0
1.0234114021054527e-10,2.0
1.1357333583431028e-10,2.0
1.2603829296797273e-10,2.0
1.3987131026472416e-10,2.0
1.552225357427048e-10,2.0
1.722585965398784e-10,2.0
1.9116440753857038e-10,2.0
2.1214517849106364e-10,2.0
2.35428641432242e-10,2.0
2.6126752255633265e-10,2.0
2.899422853882881e-10,2.0
3.217641750250735e-10,2.0
3.57078596490047e-10,2.0
3.9626886387014783e-10,2.0
4.3976036093027124e-10,2.0
4.880251583654433e-10,2.0
5.415871378079487e-10,2.0
6.010276782070388e-10,2.0
6.669919663030115e-10,2.0
7.401959996915652e-10,2.0
8.214343584919455e-10,2.0
9.115888299750837e-10,2.0
1.011637979766207e-09,2.0
1.122667773510816e-09,2.0
1.245883364295008e-09,2.0
1.3826221737646593e-09,2.0
1.5343684089300132e-09,2.0
1.7027691722258979e-09,2.0
1.8896523396912115e-09,2.0
2.0970464013232305e-09,2.0
2.327202478960412e-09,2.0
2.582618760682675e-09,2.0
2.866067616948256e-09,2.0
3.180625692794119e-09,2.0
3.5297073027306574e-09,2.0
3.9171014908092604e-09,2.0
4.347013158125035e-09,2.0
4.824108704165374e-09,2.0
5.3535666774107186e-09,2.0
5.94113398496504e-09,2.0
6.593188271333542e-09,2.0
7.316807143427207e-09,2.0
8.119844993184008e-09,2.0
9.011018251665037e-09,2.0
1e-08,2.0
