# H/Si
# Bounds from the comparisons of a bulk acoustic wave quartz oscillator with a H-maser and a cryogenic sapphire oscillator
# https://arxiv.org/pdf/2008.08773.pdf
# mass [eV] 	d_me
1.5490799809927465e-21	1e30
1.5490799809927465e-21	0.000015111179492935389
1.653640723899567e-21	0.000014733443074227536
1.7652591714384108e-21	0.00001437288835202106
1.8844117088499335e-21	0.000014021157073666159
2.011606876715564e-21	0.000013678033313100496
2.1473875413982572e-21	0.000013343306428373694
2.2923332119849746e-21	0.000013009761797636451
2.447062513619562e-21	0.000012694807102056359
2.6122358277821516e-21	0.000012380806898743578
2.7885581107837512e-21	0.000012077825554221531
2.9767819025052938e-21	0.000011801312404437102
3.1777105382223868e-21	0.000011772743426045546
3.392201577223763e-21	0.000011807670475365
3.6211704628567034e-21	0.000011845890900473298
3.865594429620434e-21	0.000011877835743232003
4.126516673982892e-21	0.000011919492861406129
4.40505080672181e-21	0.000011951636186751647
4.70238560579264e-21	0.000011990322616623663
5.019790090008436e-21	0.000011990322616623663
5.35861893518608e-21	0.000012025895173863022
5.720318255874826e-21	0.000012038856798646738
6.094357037258906e-21	0.00001229607501483531
6.290450433945845e-21	0.000013319969437424465
6.441650127931718e-21	0.000014301458053756133
6.596484116107036e-21	0.000015355268150141805
6.7550397537693886e-21	0.000016523399461512937
6.917406495922012e-21	0.000017780394786671618
7.083675947742946e-21	0.00001909055207787145
7.25394191626781e-21	0.00002049724896497337
7.428300463314337e-21	0.00002199130633177906
7.606849959678992e-21	0.00002357679915191795
7.95327873068409e-21	0.000025304695399626988
8.340209873495485e-21	0.0000270488237612984
8.745965417456093e-21	0.000028902461832437018
9.253516479050579e-21	0.00003048545298240295
9.878115963532953e-21	0.000030223863223386948
1.0544875043980697e-20	0.000029675413952541617
1.1156821497858892e-20	0.000027913733543370047
1.169960666087027e-20	0.00002608484159526351
1.2378565186033272e-20	0.000024682949632218685
1.3214101109196303e-20	0.00002456358780430814
1.400971660643909e-20	0.000025220503377133344
1.4531122979247005e-20	0.000027159225692254892
1.501353072387517e-20	0.000029013982535404187
1.5478495072321118e-20	0.00003100709277152194
1.6013950937486528e-20	0.000033220217198979644
1.65153453308038e-20	0.00003556255951703968
1.727203969228354e-20	0.00003632922531519024
1.8403501041590157e-20	0.00003562281039572458
1.8837863034550372e-20	0.00003918153287301422
1.9062915773711966e-20	0.00004206864373809173
1.9400059768311272e-20	0.000045475373455921916
2.0077859000265683e-20	0.000049029168285608004
2.1333623223291403e-20	0.00004419159423844836
2.141325657541408e-20	0.00004665531302376031
2.2382588016482502e-20	0.00005138617242429617
