# Fermilab Holometer
# https://arxiv.org/pdf/2108.04746.pdf
# mass [eV]     d_me
1.598393975725072568e-12 1.805439754674896622e+10
1.681854080381828792e-12 1.329898778820901489e+10
1.757703139619874549e-12 9.941764923114574432e+09
1.857567813163652579e-12 7.215887595628605843e+09
1.959303664115045141e-12 5.077933216208096504e+09
2.044194191650640035e-12 3.853841124329576015e+09
2.132762761440357271e-12 2.935125371159437180e+09
2.225168731603598481e-12 2.263083630490205288e+09
2.301967924912730576e-12 1.804146556104925394e+09
2.401705027994259550e-12 1.374056729189813137e+09
2.505763429223969501e-12 1.048336065455304027e+09
2.592247032581652631e-12 8.445975562813323736e+08
2.704561025623578390e-12 6.432542587732783556e+08
2.845779617333267811e-12 4.815462264560031295e+08
2.919130455817769416e-12 3.770738826599167585e+08
3.110886046609306725e-12 2.806985195921541452e+08
3.458876862343328141e-12 2.846716595374508500e+08
3.829517508967475314e-12 3.253368725482923985e+08
4.239874657333975612e-12 3.692073059524757266e+08
4.694204183113900172e-12 4.131456402775747776e+08
5.197218006114306233e-12 3.905590721170026064e+08
5.754132958307149442e-12 3.627773362649967074e+08
6.370724888377541830e-12 3.490228354696839452e+08
7.053388563919056691e-12 3.946978979972949624e+08
7.809203992529338667e-12 4.558604880284851789e+08
8.646009849633459777e-12 5.530488290353727341e+08
9.572484774564936472e-12 6.786636575501842499e+08
1.018276772849898504e-11 8.789843357367699146e+08
1.096402360789726257e-11 1.193887907794292450e+09
1.213888844447903076e-11 1.285316658092560291e+09
1.299126851284143676e-11 9.945121898964842558e+08
1.359252013750694501e-11 6.876654381489996910e+08
1.426186882363925217e-11 4.994691540958229899e+08
1.565673915073329935e-11 3.988805837720045447e+08
1.733445829304513151e-11 3.429443906065236926e+08
1.919195570804730584e-11 3.097197492975643873e+08
2.124849578065136193e-11 2.777550980453393459e+08
2.352540719709176223e-11 2.447513185019330084e+08
2.604630414793573904e-11 2.179546427007139325e+08
2.830414824450006693e-11 2.442358564702105820e+08
2.970635354372788702e-11 3.548971193120076656e+08
3.206314094568920880e-11 3.287845268573257327e+08
3.302937407462559998e-11 2.579974754055264294e+08
3.416934573089130266e-11 1.982272587896858156e+08
3.577096812702046491e-11 1.497567343757312298e+08
3.713134199353837316e-11 1.303033743661428541e+08
4.048724821956628707e-11 1.170197627904178202e+08
4.254969410979112907e-11 9.018102272735245526e+07
4.490182930160899627e-11 7.010748182425327599e+07
4.598111074708961245e-11 5.196929245739110559e+07
4.756809701140290156e-11 4.035271929975734651e+07
5.005186410211270763e-11 3.159812227006499842e+07
5.338500203949044211e-11 2.505782916451247409e+07
5.880547658608832905e-11 2.040907979503840208e+07
6.538359145761348842e-11 1.839948236733973399e+07
7.269754927736589139e-11 1.614686597988220304e+07
7.747299926898715179e-11 1.612796471834833361e+07
8.117322647880058940e-11 1.265562653004314750e+07
8.987145377859724579e-11 1.107374697056139819e+07
9.782786274840848058e-11 1.138945171716655791e+07
1.013761283240470394e-10 1.650636133338931389e+07
1.033336158472864196e-10 2.567032792269898206e+07
1.073958362446026053e-10 1.376918757019054890e+07
1.124818433816470142e-10 1.651902077381672524e+07
1.157197127079611815e-10 2.293440855794124305e+07
1.189039828987373795e-10 1.700082437239410728e+07
1.227993041304402731e-10 2.984967629575873166e+07
1.244070030869804149e-10 2.365465340449183062e+07
1.283373658457978539e-10 4.847652215425961465e+07
1.294306704764462341e-10 2.249574467561160922e+08
1.294306704764462341e-10 1.636222123078461587e+08
1.294306704764462341e-10 1.270481257730648518e+08
1.294306704764462341e-10 3.408972317716106027e+07
1.305332889574097814e-10 1.006097385327192545e+08
1.305332889574097814e-10 7.812068138432778418e+07
1.316453006332795573e-10 6.692999642624086887e+07
1.430570757237905514e-10 5.478191633322058618e+07
1.445207607728625131e-10 1.064281380507973880e+08
1.445207607728625131e-10 8.263850780498440564e+07
1.445207607728625131e-10 6.692999642624086887e+07
1.486656059233908473e-10 2.564573953644796088e+07
1.493678797487266097e-10 3.691589795639541745e+07
1.580584609109874351e-10 1.409738900749275386e+08
1.586554946807350007e-10 5.240941000534004718e+07
1.586554946807350007e-10 6.599585973426448554e+07
1.606252361360821014e-10 9.129902983406309783e+07
1.695082890966234382e-10 4.060875326308736205e+07
1.697961178127931229e-10 1.645447024965748191e+08
1.697961178127931229e-10 1.277644139094300419e+08
1.712426091027413333e-10 9.782093246915741265e+07
1.712426091027413333e-10 7.595525055117462575e+07
1.727014230363332714e-10 5.815401337113628536e+07
1.776544875782956282e-10 1.915820977264925838e+07
1.777549844298650475e-10 2.720523572582082078e+07
1.832670862631643216e-10 1.486275844741270691e+07
1.852768460793620932e-10 8.427532570110199973e+06
1.875357719366371846e-10 1.138945171716655791e+07
1.895923433932088636e-10 6.635536644787092693e+06
1.922918721130718518e-10 4.981700585440251976e+06
1.978067893426206793e-10 1.712072046138486266e+07
2.011913726047792455e-10 1.256699941133623943e+07
2.011913726047792455e-10 9.757927724369913340e+06
2.046338679532555894e-10 7.471012935113196261e+06
2.095525436560944237e-10 5.068810149509003386e+06
2.103539990511468689e-10 3.775275056711566169e+06
2.331912997665976508e-10 3.519689439847993199e+06
2.343812094824455856e-10 3.033565464629891794e+06
2.496812510838849441e-10 6.062478373241560534e+06
2.497775434164656112e-10 4.457110587212877348e+06
2.545136008432635295e-10 8.478450465524116531e+06
2.725834051588956296e-10 1.124628585173711739e+07
2.730462576363430216e-10 1.529991959558482654e+07
2.740776344799004286e-10 5.432748985437628813e+06
2.811042161466802105e-10 7.607248986716279760e+06
2.873033616948886356e-10 1.138945171716655791e+07
2.922192806700968926e-10 5.331885624896899797e+06
2.958472447210482252e-10 3.976737025634397753e+06
2.972193137302521504e-10 3.147579171808325220e+06
3.262886037712872623e-10 4.183934820543888025e+06
3.551752575934079497e-10 4.053691184908177704e+06
3.566849163080707761e-10 2.970278728205129504e+06
3.759920557142873281e-10 2.496081903058868833e+06
4.123656767513118184e-10 3.154222166732804850e+06
4.481119155877531499e-10 3.512276747320734430e+06
4.665084951797729110e-10 2.699401282811543904e+06
5.202670213678200342e-10 2.409897405587847345e+06
5.583762828337838412e-10 2.631172053888328373e+06
5.901483517656351796e-10 2.015529425903151045e+06
6.541787821128972720e-10 2.090966299175165594e+06
7.060788010783522849e-10 2.021609020888653817e+06
7.084787108427443882e-10 1.504911067705488065e+06
7.375642685793119018e-10 1.200629617632698733e+06
7.931908514100154739e-10 1.064358912764978828e+06
8.156099781240715749e-10 1.363898523684156593e+06
8.509478191001000279e-10 7.348541920617135474e+05
8.545647399394971307e-10 9.840430121437746566e+05
8.581970343612276801e-10 5.858310501588623738e+05
8.781862940820569759e-10 4.059948184632320772e+05
9.341740692813287601e-10 9.400777139128800627e+03
9.746489231816218963e-10 3.639113716522910399e+05
9.969478021440933798e-10 5.244480952019273536e+05
1.088281497315529408e-09 1.598949747627296951e+06
1.133508624270477079e-09 2.333238311462373473e+06
1.174621549751962967e-09 2.021609020888653817e+06
1.241207763325415210e-09 2.788230705630628392e+06
1.294201008818577107e-09 3.659130107455664780e+06
1.409088345823026626e-09 4.716377766719775274e+06
1.540949902468641861e-09 5.319410091943456791e+06
1.635223345226994465e-09 4.832279520235956647e+06
1.735264322669820009e-09 6.445940954414289445e+06
1.896023889781045698e-09 5.099776459811977111e+06
1.904980419717705571e-09 6.866806703440499492e+06
1.904980419717705571e-09 4.410373057716816664e+06
2.091295459774380332e-09 6.514249769007548690e+06
2.109111183162152925e-09 8.598458473645241931e+06
2.315391064313408548e-09 5.018302608042609878e+06
2.331157500218855521e-09 6.583282464595734142e+06
2.436289155449703905e-09 4.295662161735945381e+06
2.585338365856307031e-09 6.311464685170049779e+06
2.672506647638562383e-09 4.798439156058944762e+06
2.881864871843453260e-09 7.207987176411892287e+06
2.961165417882786854e-09 5.955945275685694069e+06
3.037490360605015175e-09 9.532000988719709218e+06
3.250779761283231323e-09 8.060123340059264563e+06
3.362976764479620537e-09 1.022297890567749739e+07
3.677681908725424784e-09 1.178923529730873927e+07
3.966395034769025719e-09 1.709885845427736640e+07
4.030116219014290896e-09 1.357701210306356847e+07
4.356004325988331511e-09 1.820654428940139711e+07
4.810520134502802756e-09 2.397261962393815070e+07
4.926148054456918408e-09 3.245331656800274178e+07
5.227523807093020119e-09 2.920641512577319518e+07
5.642255363891950464e-09 3.644332564498893917e+07
5.936865597865681945e-09 4.709968766966209561e+07
6.573038492041143822e-09 5.497474809815505147e+07
6.924636041051646747e-09 6.876904856991516054e+07
7.574307610951774671e-09 8.439925887939620018e+07
7.952258961035080381e-09 1.166838217817604095e+08
8.696426101838915893e-09 1.256864454996138960e+08
9.592071345229351169e-09 1.716311995111222267e+08
1.039217587207653766e-08 2.281416011257136762e+08
1.102795656529792268e-08 2.876883771507250071e+08
1.170263354884862129e-08 3.881648286692036986e+08
1.233459519411198375e-08 5.151547595623734593e+08
1.293468176903301560e-08 6.662587837418198586e+08
1.355081941774101116e-08 9.420320585321804285e+08
1.410370978552483252e-08 1.374056729189813137e+09
1.460817555485793386e-08 2.000191734070390701e+09
1.484013466739068154e-08 2.884008378453093529e+09
1.525496099431729972e-08 4.159919344088320732e+09
1.583327720861836428e-08 4.004453835114530469e+13
1.657031941662802575e-08 6.358471961884793282e+09
1.665083697101650355e-08 4.363648778305373192e+09
1.696861139203787688e-08 2.989248367548227310e+09
1.755426390817111770e-08 2.160513762007553577e+09
1.834593449278501796e-08 1.684667790595206499e+09
2.014024349697244307e-08 1.393505779672099829e+09
2.229839863517772851e-08 1.383747084449802876e+09
2.468781381754584015e-08 1.672870093191248178e+09
2.637657832254277087e-08 2.169642953988374710e+09
2.764417911910515413e-08 2.904347470112340927e+09
2.827664706682669646e-08 3.793382898136228561e+09
2.928805475555888932e-08 5.149808690757037163e+09
2.975311154265729981e-08 7.487089949740606308e+09
3.058480035495611282e-08 1.082794307928437614e+10
3.130666957711365044e-08 1.985115362288945007e+10
3.130666957711365044e-08 1.546812882157304001e+10
3.162277660168379191e-08 3.765967993209315625e+13
3.322197358382047575e-08 1.985115362288945007e+10
3.322197358382047575e-08 1.541387215493810654e+10
3.336318229942455617e-08 1.147427942914849281e+10
3.344819546280879888e-08 8.398740407153307915e+09
3.466137826363458094e-08 6.053246674823902130e+09
3.709526404395339370e-08 4.667263482411923409e+09
4.072333577357583902e-08 5.167935962772714615e+09
4.284970381377888159e-08 6.991260904462533951e+09
4.402880313354773761e-08 9.693399012131000519e+09
4.493437149790876319e-08 1.274988460926428604e+10
4.620566242420631091e-08 1.943701562530636978e+10
4.695413234680415440e-08 3.765967993209315625e+13
4.704058378285694700e-08 2.963145063633647537e+10
4.717378565549374130e-08 2.433858690416506577e+10
4.722231615953594816e-08 4.240408958928620148e+10
4.744132200698389039e-08 1.704962105465274963e+11
4.744132200698389039e-08 1.323855954263210297e+11
4.744132200698389039e-08 1.027937560618030090e+11
4.744132200698389039e-08 7.981651063520927429e+10
4.744132200698389039e-08 6.197531459158082581e+10
5.132373458701592622e-08 1.696409481305008507e+10
5.208128140949714714e-08 2.114726705266123581e+10
5.234703756259976734e-08 2.578233307085357285e+10
5.239781132147845746e-08 1.248389444154890823e+10
5.290826543429535976e-08 3.691804113820556641e+10
5.387880819564462010e-08 1.361598157484346466e+11
5.387880819564462010e-08 1.006492559935351105e+11
5.387880819564462010e-08 7.815136560049333191e+10
5.387880819564462010e-08 6.068237549231625366e+10
5.387880819564462010e-08 5.235635552960551453e+10
5.503363259685946687e-08 1.054631541740635681e+10
5.756437628704346409e-08 1.398921634902807236e+10
5.815334482637791166e-08 3.026279805450902557e+10
5.815334482637791166e-08 2.349822630585318756e+10
5.848314947286988012e-08 4.300429718010623932e+10
5.854933451383242469e-08 1.778990728092201233e+10
6.294474008923040327e-08 2.056108496488010406e+10
6.300949512045991799e-08 6.979530729895716858e+10
6.315811861461506736e-08 3.765967993209315625e+13
6.330171814123473958e-08 1.704962105465274963e+11
6.330171814123473958e-08 1.323855954263210297e+11
6.330171814123473958e-08 1.027937560618030090e+11
6.384098479296707634e-08 2.648012466876171494e+10
6.402175930811030095e-08 3.482973656022257996e+10
6.411233843313446045e-08 4.589267447336696625e+10
7.021714068365522498e-08 2.056108496488010406e+10
7.128409098713116490e-08 2.820905417367656326e+10
7.543157021321212783e-08 2.611054365304391098e+10
7.645154645339772754e-08 3.959589850328614044e+10
7.825597276092835606e-08 5.577478535111370087e+10
7.855829987457174242e-08 7.951113997759794617e+10
7.888523218736060665e-08 3.765967993209315625e+13
7.959497561543506238e-08 1.934869726813563538e+11
7.959497561543506238e-08 1.502372868203279419e+11
7.959497561543506238e-08 1.166551010558467407e+11
8.518405167183871736e-08 3.938774891224416351e+10
8.620173453417111860e-08 5.415259519959765625e+10
8.664159777755894406e-08 6.886516182081056213e+10
8.688693535936924400e-08 9.316181875810371399e+10
8.737969661130619395e-08 1.934869726813563538e+11
8.737969661130619395e-08 1.166551010558467407e+11
8.797470036997712472e-08 1.489756418928404846e+11
8.988574010164753851e-08 3.632975947440072632e+10
9.194222545889338628e-08 4.914744085676187134e+10
9.377844006423798843e-08 3.765967993209315625e+13
9.580961914560384193e-08 8.868977845596633911e+10
9.653803859302099413e-08 6.550186671217056274e+10
9.756713910143856545e-08 1.934869726813563538e+11
9.756713910143856545e-08 1.502372868203279419e+11
9.756713910143856545e-08 1.166551010558467407e+11
1.026616050241927891e-07 9.057946193227244568e+10
1.031854583642835135e-07 6.197531459158082581e+10
1.035361781262900104e-07 1.934869726813563538e+11
1.035361781262900104e-07 1.502372868203279419e+11
1.035361781262900104e-07 1.166551010558467407e+11
