# Rb/Quartz comparison
# https://arxiv.org/pdf/2212.04413.pdf
# mass [eV] 	d_me
1.0877623805267775e-17	1e10
1.0877623805267775e-17	63.59657577656704
1.2876497275427601e-17	54.093704969714814
1.524268397697293e-17	57.19836649879296
1.804368143386663e-17	52.89954891981371
2.1359390523263986e-17	51.73175469283292
2.528439471720012e-17	55.006979436580195
3.0366589105814305e-17	61.07706220352865
3.5430719532393106e-17	71.90430758043343
4.094278999942234e-17	118.95199484889307
4.19414728522199e-17	59.80990941650704
4.964864299200132e-17	60.481217397882034
5.877208365172405e-17	62.540689243045016
6.957204887395883e-17	66.87240476489154
8.35561161354575e-17	79.85833974758029
9.014609371163415e-17	113.57833530369425
9.749047895025675e-17	82.89121494729982
1.154053411899737e-16	96.58002421447027
1.3661224068834282e-16	101.63040983292714
1.617161226114128e-16	105.67919723257032
1.9143309692233942e-16	113.63116863195829
2.2661086603798854e-16	132.1104275660975
2.6825290627419495e-16	148.53697810214575
3.1754709287633574e-16	153.5948743801673
3.7589958518899483e-16	165.15232447581764
4.449749385685161e-16	164.23321734506558
5.267435872654738e-16	188.82228382567797
6.235380527673862e-16	206.45826966322667
7.381194809933058e-16	211.1188650143152
8.737564063713607e-16	238.69769119888434
1.0343179896127389e-15	233.4282741345133
1.2243843888703344e-15	263.92141740943185
1.449377412714894e-15	298.39793326520714
1.7157151819179144e-15	288.57165617020837
2.0309952119025268e-15	328.09418836930786
2.4042111384477685e-15	352.7820708527116
2.8460092689345664e-15	360.74578420769666
3.3689922774798067e-15	381.4504772701082
3.959349574591117e-15	444.7726833432841
4.743737783623872e-15	554.4027554412623
5.588446934390557e-15	704.7645359371675
6.6331184492103e-15	787.9847966819345
7.807468875142141e-15	1005.8987481145882
8.020941559986205e-15	3212.545704721986
9.32175177956231e-15	999.1205098599554
1.0874795812155791e-14	1082.3437071204858
1.2990015160924145e-14	1164.5982287373085
1.5438949163589978e-14	1339.5852123381542
1.7960668153079216e-14	1292.4636425678034
2.154769272966626e-14	1627.7867686666862
2.550729935989633e-14	1609.7192380051486
3.019452378488796e-14	1636.8964387481033
3.574307313888325e-14	1871.499689341615
4.2311224595334284e-14	2287.929260858234
5.008634036028931e-14	2515.6216253699913
5.929021234151132e-14	2300.7333216463135
7.018538895464223e-14	2432.781925756211
8.333332236608083e-14	3393.2486554903307
9.834994506046923e-14	4860.0497774665755
1.156600556382227e-13	3733.0713433027577
1.359837309057447e-13	4492.000140281593
1.643255560990854e-13	5039.584147973052
1.9059876520570267e-13	5497.715080296248
2.319382597882372e-13	6942.477748587183
2.706177965115936e-13	8187.71083101183
3.2034655563067394e-13	10765.061512765786
3.792134775587089e-13	14510.551562475124
4.488977922021377e-13	13646.564519201336
5.229181053899846e-13	14564.638642374148
5.328121143894318e-13	23073.81860685765
6.177676998249566e-13	21595.92546795235
6.335993938968609e-13	31855.308508712675
7.446266669875952e-13	37892.96324730381
8.19980566638058e-13	39183.272773056684
8.19980566638058e-13	1e10
