# I2
# Electronic transition of molecular iodine
# https://arxiv.org/pdf/2111.06883.pdf
# mass [eV] 	d_me
4.223891414581788e-14	1e30
4.223891414581788e-14	253199.2828050766
4.558347758826543e-14	204905.92698476763
4.992099768908094e-14	283112.32124506775
5.3945798254545584e-14	278541.3093577778
5.707137956342527e-14	203423.22012442604
6.270941815821605e-14	265166.04415817605
6.870567700561938e-14	234386.67434379816
7.527179109110458e-14	217603.27303384923
8.245159584478278e-14	241068.7560920231
9.032045292293959e-14	254272.22964796843
9.967957253557668e-14	316115.8613828337
1.0621900177179687e-13	433650.9337746069
1.1516536422497993e-13	315006.3256599443
1.2619448948173737e-13	241497.99786873814
1.371989944300881e-13	240167.81684970882
1.4354721840193366e-13	354685.3955670042
1.5416504428690692e-13	486533.04322379566
1.5478846071182152e-13	672657.4658944533
1.5973600380100826e-13	219612.9288028614
1.6320940620494262e-13	272130.0395860995
1.7894695311165514e-13	348079.4148496696
1.9602403590653923e-13	368950.49253824906
2.1468180636845556e-13	497408.94924543303
2.339990672636219e-13	485042.4854198578
2.4066292569948034e-13	387688.56618832855
2.5761271826655444e-13	556110.8305810643
2.8221272290711675e-13	555738.0188547892
3.090956131056633e-13	696048.2725982617
3.310185971189581e-13	612343.9460615088
3.361857794397765e-13	451625.43491722224
3.467989110092313e-13	220518.9028732642
3.519972031894831e-13	309756.8820795171
3.8266425400191256e-13	332810.71571611403
4.1926622917302616e-13	285641.83136688266
4.592237467164549e-13	342298.74832430895
5.031135185958418e-13	316232.1841176514
5.510234784402309e-13	407911.37724288116
6.036250544941094e-13	419821.88408218476
6.612449810468999e-13	434206.25755675
7.243583565266674e-13	453513.87906721566
7.873116993614547e-13	599560.9698855982
8.69130685529969e-13	559336.7304322241
9.520726770994413e-13	592874.9399812397
1.04296876064068e-12	604225.2201255844
1.1424470841557407e-12	672676.2617724638
1.251530210113332e-12	678857.0883708424
1.3710032708935246e-12	698678.8742906271
1.5018044839191415e-12	758972.6317398408
1.6449775942983892e-12	883118.7759704482
1.8020685123709525e-12	878205.4414329575
1.9738118563067383e-12	1052397.0594068554
2.1623055583999878e-12	1046541.9253526081
2.36897641268993e-12	962112.0141670764
2.5950380640025816e-12	1024818.9373287216
2.8424997515981165e-12	1163540.206652622
3.1133707823066214e-12	1408083.4602555656
3.410975204286566e-12	1281840.2487289845
3.736574911060002e-12	1325759.9908185445
4.0929502328306054e-12	1483214.3273743787
4.483293923245087e-12	1667533.8754491936
4.9114363859952485e-12	1658256.3558158048
5.3800643987625605e-12	1783761.0420731208
5.893406869193738e-12	1918764.5167519327
6.455609999767504e-12	2104910.73128564
7.071148266199676e-12	2413411.81876988
7.746495981699707e-12	2376538.9727759906
8.485356494551758e-12	2645770.64795685
9.294386500797998e-12	3048468.395978847
1.0180837343808783e-11	3410520.7826283495
1.1151729445982846e-11	3853214.6562679466
1.221594989647781e-11	4084256.0192755396
1.3380919817371046e-11	4614402.3615346
1.4657669299639388e-11	4963642.163099805
1.605586682460899e-11	5471976.436754927
1.7585964405100736e-11	6589606.338256369
1.9264120477929025e-11	7019092.647785786
2.1101924695621707e-11	7662336.642000901
2.311344145053339e-11	9003631.8993029
2.5318354403302534e-11	9877106.460916782
2.773373477640274e-11	10782264.681504115
3.0377987099070515e-11	12423372.050040228
3.327528346937234e-11	13898838.06008149
3.6449588069823384e-11	15247214.095135838
3.9924475081999637e-11	17741220.810279842
4.3732470103764655e-11	19751075.75194984
4.790166378800742e-11	22981784.998197827
5.2469056658448594e-11	26350054.045856472
5.7474088744902997e-11	29048603.84941642
6.295391300522006e-11	33469927.1271449
6.895941843848827e-11	36716964.57287777
7.553641355302205e-11	41077667.36765487
8.27383767431193e-11	47329866.19513995
9.062784987279758e-11	54000935.02883161
9.927100636415126e-11	60711649.56039277
1.0873693944255463e-10	69268859.32630447
1.191066008126527e-10	78260125.35639325
1.3046273111328297e-10	90171655.27879065
1.4290160321432443e-10	103896171.62877125
1.5652572137720442e-10	120298662.2015213
1.714471545745132e-10	140664837.99286285
1.8779190693671637e-10	163673569.18466273
2.0568720749463732e-10	198073125.73490357
2.2528990771243638e-10	237360832.93996543
2.467585145174087e-10	287247368.90423006
2.702691585706563e-10	352775414.79940075
2.9601571275044455e-10	439679090.56599426
3.2422099131495057e-10	537336465.9347101
3.551137547143311e-10	656684577.0435126
3.8893739536225975e-10	830595488.4956887
4.1637973696902815e-10	1050739673.0970267
4.0928176360716993e-10	2850631.2359960587
4.483608026199036e-10	2876824.0100938925
4.911345889989409e-10	3140462.0413557384
5.379890104167855e-10	3428260.400563815
5.89283172628747e-10	3950056.476881402
6.454889807995822e-10	4397547.6960502025
7.070919186614383e-10	4638403.896816643
7.745415349945585e-10	5113430.016414007
8.484567913941815e-10	5420034.746756358
9.293998830624837e-10	5916737.807142338
1.0180697168049011e-9	6427333.40028466
1.115173170399232e-9	7155468.624712884
1.2216407501310305e-9	7292456.323091666
1.3381234108812414e-9	8361257.328600891
1.4657262703772632e-9	9493051.626616713
1.6055720530179644e-9	10261777.565720452
1.7588261282217593e-9	10665601.45513237
1.926618791288697e-9	11643018.968330381
2.0943677136619923e-9	13180900.406280171
2.294218178502857e-9	14081393.428529136
2.5323194259661337e-9	14998328.671611052
2.761270052786597e-9	16453921.930636147
2.9701066452088404e-9	17442849.577694993
3.4051402861731092e-9	19719716.469875485
3.915604937947122e-9	23368938.63812751
4.308759115259887e-9	25509660.55737264
4.792019276508794e-9	28396407.011550598
5.20950343379344e-9	30577291.73055324
5.749899815596791e-9	34173337.814493835
6.298471716643876e-9	37122387.8247852
6.899380378377142e-9	40325931.44089351
7.557443034934617e-9	44894347.191458024
8.278425895298704e-9	49008556.91259919
9.068106325442922e-9	54027599.051909246
9.933207022382555e-9	58978798.63793587
1.0880433272005728e-8	66962271.14438535
1.1918430629867227e-8	73098830.51380888
1.305539251971456e-8	80190409.74001871
1.430101499472899e-8	86684048.50436193
1.5665118252446142e-8	96031716.13469493
1.7159736153787674e-8	103808148.21080458
1.879695640482176e-8	112214298.24123693
2.0590192997177282e-8	122497845.84927359
2.2554399986285904e-8	134381800.3910095
2.470621314377642e-8	145978520.96824265
2.7062942945959252e-8	160928407.15812573
2.9644895768776064e-8	174816015.19226277
3.2472576105296e-8	193667488.2680058
3.557047187448175e-8	211415572.6649854
3.8963908045686033e-8	230790127.7854644
4.2680284217489024e-8	256935717.41419673
4.6751781389401256e-8	281861971.1350612
5.12114416321242e-8	310727891.69499063
5.6095725882913484e-8	347631595.51397276
6.144527576630884e-8	392755020.18315333
6.730592399646117e-8	437249174.5946365
7.3724530622902e-8	494005178.4967232
8.075524549448285e-8	558128249.4308426
8.84560301609838e-8	633677457.57524
9.68889021530146e-8	737328906.5918972
1.0612620825674393e-7	853733873.683477
1.162447326798443e-7	983675865.6728224
1.2732622138316998e-7	1150209019.370173
1.3946344731616655e-7	1351553592.7905982
1.5275692898345107e-7	1595958241.566367
1.6731674952026246e-7	1893832329.8515537
