# Foster et al. Green Bank/Effelsberg radio telescope neutron star analysis
# Model A
# m_a [eV]  g_ap [GeV^-1]
2.333285078900237586e-05 1.807746012502304068e-10
2.342916338722380340e-05 9.694974978492612254e-11
2.360830816104771680e-05 8.684384343405102845e-11
2.405905088861022488e-05 8.368916506473898052e-11
2.442299380003903821e-05 1.004898129353428931e-10
2.469943558626421702e-05 1.163296604944132561e-10
2.479542408509715704e-05 9.684632395135887631e-11
2.498251158979688827e-05 1.041962047085051835e-10
2.517403823294553321e-05 8.997647195483272167e-11
2.565364625364276277e-05 9.330173636718314499e-11
2.604640922532002354e-05 8.055731434045480089e-11
2.614501188686028192e-05 8.055158225889799765e-11
2.634333844935176418e-05 8.054011931935965972e-11
2.634333844935176418e-05 8.054011931935965972e-11
2.664311859847051054e-05 8.352853061022357075e-11
2.684629987059221462e-05 7.761442922744726318e-11
2.725295197160019161e-05 8.984211917938469985e-11
2.746078385247390055e-05 8.348099445483042725e-11
2.756363579029845402e-05 8.982294230951049805e-11
2.787842022711935750e-05 8.657236530534203248e-11
2.830297554089217864e-05 8.654772759739898978e-11
2.840784293311481270e-05 1.002041940368110927e-10
2.884046072751713711e-05 1.001756768343684971e-10
2.895254233850041631e-05 8.339787126958743805e-11
2.917099631138799504e-05 8.972711934243290277e-11
2.928025369875965326e-05 9.654357757626752332e-11
2.961464239264087678e-05 9.304978940700220580e-11
2.995104872770698058e-05 1.001044193295561687e-10
3.006262511744584205e-05 1.117295879813048841e-10
3.029188365533460272e-05 1.038187567246086938e-10
3.052350236729827235e-05 9.299683469540600726e-11
3.075380961564359855e-05 1.000545692372619992e-10
3.087208930900620671e-05 8.963139859913892229e-11
3.146088547424918800e-05 8.959951438225232002e-11
3.218228270788775090e-05 8.956126829313171010e-11
3.255046585691398340e-05 8.321410720968143370e-11
3.291890180697064388e-05 9.633084744894948201e-11
3.342088760298516558e-05 9.283815131144267550e-11
3.380391867525902873e-05 8.315491490040775677e-11
3.406034292240105600e-05 8.314308149211100567e-11
3.444932157334254779e-05 8.013424007804674338e-11
3.484134564341823874e-05 8.310759137002201504e-11
3.537052002151982506e-05 8.940208523594672128e-11
3.564025673522394557e-05 8.307211639710410286e-11
3.577446126170104876e-05 8.616673850914608351e-11
3.632072000359013976e-05 8.005444930260394240e-11
3.659330160512738164e-05 9.267973869385967465e-11
3.701194925484616369e-05 8.611157321481979756e-11
3.772011380493566775e-05 7.711895861859140206e-11
3.800624488569765921e-05 7.710798416054676642e-11
3.829147610078186242e-05 8.926859013415700436e-11
3.858194132836163548e-05 8.925588671576702312e-11
3.887694772866382895e-05 7.995197789274456658e-11
3.932172155559188577e-05 7.428582228444327069e-11
3.961761935942715912e-05 8.290676663926521900e-11
3.991894440005440159e-05 7.991216333207099771e-11
4.052442560885450890e-05 8.917335854906840316e-11
4.083264766738358266e-05 8.595240511849265019e-11
4.129731228193787905e-05 8.914163726892601706e-11
4.146694679377389419e-05 4.959126311651975553e-11
4.178568777436631582e-05 4.128259098002368016e-11
4.226204486985460671e-05 4.127377917902738547e-11
4.258262938973051862e-05 4.126790568999100427e-11
4.306634504972569369e-05 4.439665863158394649e-11
4.339477037052655111e-05 4.125322562389748114e-11
4.355730164596419840e-05 4.438718213043704757e-11
4.388859125650352536e-05 4.278391127821343828e-11
4.403178406010210068e-05 1.109294724248315654e-10
4.439248073233892388e-05 3.694253056887046407e-11
4.472474317575237719e-05 4.436507815999580073e-11
4.490305549373708110e-05 3.075087758626546702e-11
4.540948883972280900e-05 3.830509148306355609e-11
4.541677133305919187e-05 2.857157868600140093e-11
4.576403841613011072e-05 2.559331727596243301e-11
4.610194567001093152e-05 3.691625240801383090e-11
4.646190183174054585e-05 2.466537277258700018e-11
4.680777660735316076e-05 3.187372781360087408e-11
4.699156779600420855e-05 2.466010792967836758e-11
4.752155615983314743e-05 3.071807260064828713e-11
