# CAPP (DFSZ)
# mass [eV] photon coupling [GeV^-1]
4.507781155015197250e-06 8.457819895935293075e-16
4.508077676210859534e-06 5.908257840614761551e-16
4.508240774671318698e-06 5.865600801277112510e-16
4.508544585529036834e-06 5.819564668691888947e-16
4.508557377565151593e-06 5.763622120228486637e-16
4.508979514756928504e-06 5.901660264350447876e-16
4.509363275840362830e-06 5.849329691703527956e-16
4.509693310372115842e-06 5.931256646491259378e-16
4.510015669682199489e-06 5.960634324722046237e-16
4.510028461718314249e-06 6.005577855333906133e-16
4.510552935199006698e-06 6.029683278788075747e-16
4.510677657551123277e-06 6.081612348706753070e-16
4.510925731680057064e-06 6.143537568441387041e-16
4.511473961799248232e-06 6.198578470841648634e-16
4.511934475099368575e-06 6.253924794206836637e-16
4.512385394372403484e-06 6.283076142847438436e-16
4.512787277506998904e-06 6.266051638568618817e-16
4.513354391108073885e-06 6.334769682244739250e-16
4.513597439794248394e-06 6.376644083166066097e-16
4.513776528299850796e-06 6.282236123454976678e-16
4.513955616805453199e-06 6.381013968775714894e-16
4.513981762917933010e-06 6.775563134305290654e-16
4.514160289383284275e-06 6.313130565182864063e-16
4.514382018009268364e-06 6.272774222066713212e-16
4.515070351381141850e-06 6.325031558933096851e-16
4.515292384579413841e-06 6.368289078001471143e-16
4.515829650096221049e-06 6.446960217025981274e-16
4.515848838150392766e-06 6.381757519220485756e-16
4.515963966475423063e-06 6.328285219524135240e-16
4.515987841945288648e-06 6.537466467466900336e-16
4.516079094800453361e-06 6.283145566231509454e-16
4.516386103667199974e-06 6.228845393372916081e-16
4.516718696606176107e-06 6.373321216776818836e-16
4.516780829353017412e-06 6.306853560414029376e-16
4.516984770957357014e-06 6.259788010518213638e-16
4.517172813888239495e-06 6.198755771904642281e-16
4.517332714339670181e-06 6.173116259726600430e-16
4.517901959946763019e-06 6.217521506783800511e-16
4.518207224444949106e-06 6.178090920622797604e-16
4.518624709987230434e-06 6.242085943074073377e-16
4.518828219652687825e-06 6.186851949209754433e-16
4.519258829491761624e-06 6.178097048244892251e-16
4.519417816226326910e-06 6.288153349499320652e-16
4.519456192334670343e-06 6.224375261625505924e-16
4.520102190158450046e-06 6.132647711514951938e-16
4.520182370820668771e-06 6.474586646746689478e-16
4.520492347259941328e-06 6.164858274399956373e-16
4.520735395946115836e-06 6.104726144923467678e-16
4.521247077390694372e-06 6.072682450162689008e-16
4.521528502185212312e-06 6.100475413134719179e-16
4.521912263268645791e-06 6.039590172381377565e-16
4.522548210206907782e-06 6.047792367527728830e-16
4.522615825254941489e-06 6.090812508396205553e-16
4.523236239006492519e-06 6.064787363311998953e-16
4.523990969137245564e-06 6.077900737145690502e-16
4.524138077552562337e-06 6.051716407486106886e-16
4.524376899696048894e-06 6.466791592396064637e-16
4.524627372933939832e-06 6.121116684488862667e-16
4.524972757909030725e-06 6.069294429679254532e-16
4.525565668782935317e-06 6.092917469803511585e-16
4.525715762006678784e-06 6.045110449361977630e-16
4.526114447132245725e-06 6.006173815798759567e-16
4.526133635186417442e-06 6.059228629651068383e-16
4.526291793313069684e-06 8.499455386121270825e-16
4.527841945288753624e-06 8.495459378702795858e-16
4.528525745939820784e-06 6.129297830054886792e-16
4.528922299059369022e-06 6.081376089954213270e-16
4.529593880955378245e-06 6.095848264545113574e-16
4.530188710634700602e-06 6.133972231070489525e-16
4.530412571266703394e-06 6.103857647781345642e-16
4.530988212891854035e-06 6.075181265106301781e-16
4.531053452276038548e-06 6.138536798769173201e-16
4.531774923112893556e-06 6.134786549356521298e-16
4.531951453211272837e-06 6.104258059182083641e-16
4.532534770058092842e-06 6.077109408603279529e-16
4.532833007242932458e-06 6.120161838594324908e-16
4.533348343554971749e-06 6.103395540071598348e-16
4.533616976313375777e-06 6.048873078493453218e-16
4.533896573674162916e-06 5.924085956885094684e-16
4.533962361288465823e-06 5.863046296299823629e-16
4.534282162191327196e-06 5.825132346746234555e-16
4.534499626805273031e-06 5.898674120389070842e-16
4.534783610007014093e-06 5.948826272934800954e-16
4.535267148972140835e-06 5.966638920379467197e-16
4.535420653405514565e-06 6.042221032676432102e-16
4.536102895331618997e-06 6.073868958891761675e-16
4.536372380892430168e-06 6.095884303303022713e-16
4.536778115501519568e-06 6.539880995311936211e-16
4.536840569414219028e-06 6.115794801743703717e-16
4.537032449955936191e-06 6.156831469147277285e-16
4.537713625879030848e-06 6.187615645427638290e-16
4.537838348231146580e-06 6.117139836996429723e-16
4.538298861531267771e-06 6.191569993160631515e-16
4.538682622614701249e-06 6.242113345500367930e-16
4.539176395208719630e-06 6.181985069063768832e-16
4.539829641852964278e-06 6.248548374564225382e-16
4.540025786406719694e-06 6.213842707340966744e-16
4.540614220067984248e-06 6.225521550489204551e-16
4.540738485561667704e-06 6.272009532368760973e-16
4.540921228934731709e-06 6.362772321596263025e-16
4.541155015197568539e-06 6.504627293802482171e-16
4.541394534270965965e-06 6.242198681362036377e-16
4.541455296442509592e-06 6.281277736801975632e-16
4.541560830740454455e-06 6.412262235203992313e-16
4.541637582957141320e-06 6.356972849326575589e-16
4.541771899336342487e-06 6.180757528492075741e-16
4.542059720148918231e-06 6.123316361126421919e-16
4.542200432546177202e-06 6.072799494697620035e-16
4.542456273268466470e-06 6.054834311424031227e-16
4.542961558694987202e-06 6.117119337897371732e-16
4.543239785480476665e-06 6.143744269760668415e-16
4.543837813168827500e-06 6.162663200332357210e-16
4.543923093409590872e-06 6.127773201558941588e-16
4.544658008425578164e-06 6.157973074917759863e-16
4.544912344202442764e-06 6.128134678836243985e-16
4.545167173252279814e-06 6.704506764205862944e-16
4.545296105285876243e-06 6.188471531779350395e-16
4.545343618562872833e-06 6.145390761707425449e-16
4.546044439398572330e-06 6.139389474414495260e-16
4.546204339850003017e-06 6.197004610810441455e-16
4.546728813330695466e-06 6.151016493779919275e-16
4.547163742558587137e-06 6.111986914205820898e-16
4.547173252279635451e-06 6.894747782185357969e-16
4.547432375316990317e-06 6.172404043344465083e-16
