# CAPP (DFSZ)
# mass [eV] photon coupling [GeV^-1]
4.547654956745382396e-06 6.099133897817280701e-16
4.547854512508768075e-06 6.035752893949320483e-16
4.548343807890145570e-06 5.979827724688531088e-16
4.548967419650725925e-06 5.961908518672475434e-16
4.549179331306991088e-06 6.967183802998299619e-16
4.549456715032103420e-06 6.014148666664697038e-16
4.549781845950012821e-06 5.965288290416656075e-16
4.550157079009370640e-06 5.910278592645833879e-16
4.550189972816521670e-06 5.992531156114897276e-16
4.550836884357167620e-06 5.962497885867783817e-16
4.551276595744680726e-06 6.414985791561485185e-16
4.551538618909731671e-06 5.957656728576950794e-16
4.552152636643225744e-06 5.921637922538828421e-16
4.552236366334157255e-06 5.965716813796689539e-16
4.552974981822012496e-06 5.968222166789984343e-16
4.553373860182371211e-06 6.619370779454947971e-16
4.553841185410334235e-06 5.979381069490294240e-16
4.554033065952051398e-06 5.928469510091271563e-16
4.554194528875379758e-06 6.155109690381742808e-16
4.554468085106383454e-06 6.155479408582763159e-16
4.554562656247190090e-06 5.991439472354556812e-16
4.555015197568389152e-06 6.336875379939208978e-16
4.555197568389058001e-06 6.371872124053371993e-16
4.555314827970720012e-06 5.994183610861871017e-16
4.555751462803426815e-06 5.967590651995260253e-16
4.556020948364237985e-06 5.996867713715243949e-16
4.556441166750597979e-06 5.951349321822045922e-16
4.557020920101642499e-06 5.994004574638444871e-16
4.557218282944551217e-06 6.039403140011260308e-16
4.557893702451395122e-06 6.020400701803552021e-16
4.557947429003075589e-06 6.053902839094671575e-16
4.558446318411539365e-06 6.014692420726101773e-16
4.558622848509918646e-06 6.073164198163410817e-16
4.559181860488120692e-06 6.047371395836169916e-16
4.559768162143366543e-06 6.062948258042891076e-16
4.560246506766556254e-06 6.028378950092065337e-16
4.560759878419453215e-06 6.198768383906032586e-16
4.560942249240122064e-06 6.254675209932513518e-16
4.560946247755050648e-06 6.053964376093703252e-16
4.561132645995575408e-06 6.002424716779209665e-16
4.561646295445709995e-06 6.073730488103179714e-16
4.562069023039153976e-06 6.032359105262335924e-16
4.562346726514075111e-06 6.075222945494569247e-16
4.562757234582111793e-06 6.103375349417745944e-16
4.563396836387834540e-06 6.103620571471546915e-16
4.563542665599539753e-06 6.063019074877896784e-16
4.564125982446358911e-06 6.074928468528547189e-16
4.564133657668027428e-06 6.108634988321721808e-16
4.564872572190493626e-06 6.119348174296969984e-16
4.565533106418949461e-06 6.134053804976160088e-16
4.565942451574612460e-06 6.100307870595540392e-16
4.565957446808510734e-06 6.456573386224305515e-16
4.566179104242729164e-06 6.167069717530571610e-16
4.566601241434506922e-06 6.107214311139079162e-16
4.567272823330516145e-06 6.115035543130254384e-16
4.567283787932899257e-06 6.152853830499078652e-16
4.567963593280696236e-06 6.177397788638170447e-16
4.568607131097531933e-06 6.187743863291070640e-16
4.568922995989281203e-06 6.125311195431637584e-16
4.569345133181058114e-06 6.191391051791990258e-16
4.569498637614431844e-06 6.231691002205071249e-16
4.569878419452888008e-06 6.594566925969811545e-16
4.569993263010857367e-06 6.226171815138369582e-16
4.570081954461251003e-06 6.268867263524615084e-16
4.570817380246594454e-06 6.240692076823988868e-16
4.571494195248286949e-06 6.244684395828724940e-16
4.572216945288753516e-06 6.242002547634088995e-16
4.572757118086496629e-06 6.251041781082051297e-16
4.573029239582021709e-06 6.218890944014378837e-16
4.573105991798708574e-06 6.154406102696171625e-16
4.573387416593226515e-06 6.079426115384680894e-16
4.573573482573073563e-06 6.014365834288913984e-16
4.573981762917933283e-06 6.384193189428675701e-16
4.573988642290606676e-06 6.199640560640309519e-16
4.573988642290606676e-06 6.146784637830529186e-16
4.574149821945648923e-06 6.068448698029762961e-16
4.574222387677789170e-06 6.020291453253782024e-16
4.574871292782503930e-06 6.015805487212044126e-16
4.574896876854732603e-06 6.064136844775429978e-16
4.575430487504079057e-06 6.148302647291798360e-16
4.575783791358668958e-06 6.214150497456633083e-16
4.576252832682865808e-06 6.264824939763138599e-16
4.576914820551788749e-06 6.265678721748543444e-16
4.577626697361558321e-06 6.337110411149063933e-16
4.578085106382978558e-06 6.753063505228993981e-16
4.578203618190320523e-06 6.322674506656543240e-16
4.578401894750094642e-06 6.284002961551820364e-16
4.578990328411360043e-06 6.316820140550857168e-16
4.579220585061419792e-06 6.285126640175766342e-16
4.579716276460855090e-06 6.331623819167939324e-16
4.580128819625546566e-06 6.319697551260708558e-16
4.580148007679718282e-06 6.367505435878862673e-16
4.580685273196525491e-06 6.427067150035802895e-16
4.581066293129363615e-06 6.489887589319388828e-16
4.581702240067624759e-06 6.534956091732619093e-16
4.582239505584431968e-06 6.434395902089434521e-16
4.582381201984469388e-06 6.500672856947802947e-16
4.583097734916475081e-06 6.482855960219059309e-16
4.583736173809824143e-06 6.443486436185350046e-16
4.584215875164116203e-06 6.419513091378855395e-16
4.584311815434974784e-06 6.555028546314286845e-16
4.584376899696049166e-06 6.832275606614806815e-16
4.584644408373950070e-06 6.477577246404843473e-16
4.584695576518408263e-06 6.443731352768106843e-16
4.585300000224816055e-06 6.492783981186294195e-16
4.585631953561986831e-06 6.522177992004027743e-16
4.585693355335335815e-06 6.570251781355859508e-16
4.586115492527112726e-06 6.562023931288287921e-16
4.586268996960486456e-06 6.618185728099996902e-16
4.586384125285516754e-06 6.649268041149570540e-16
4.586576005827233916e-06 6.668194860047495050e-16
4.586671946098091651e-06 6.720355303328034422e-16
4.586813937698962182e-06 6.797124867768872992e-16
4.587021276595744502e-06 6.990153948791922710e-16
4.587243750112408457e-06 6.837813116517785938e-16
4.587381904102444306e-06 6.896257186296360054e-16
4.587568389057751047e-06 7.039973592293029949e-16
4.587957545727594947e-06 6.859200426027477557e-16
4.588771972026881843e-06 6.839305525056217694e-16
4.589331410406287460e-06 6.771687198471049028e-16
4.589684470603046870e-06 6.798432147056309641e-16
4.589953103361450898e-06 6.715586089219484696e-16
4.590119399830938541e-06 6.680222281524441251e-16
4.590528744986601539e-06 6.752529782572380685e-16
4.590572603396136528e-06 6.687863639604900108e-16
4.590605497203287557e-06 6.790955086216429145e-16
4.590759878419452928e-06 8.592501921590848597e-16
