#  Blue axion cosmic optical background anisotropies
# https://arxiv.org/abs/2301.06560
# mass [eV]	photon coupling [GeV^-1]
5.105231981552862	 1.7276122829648623e-11
5.306187803197959	 1.692190816535485e-11
5.4968758091385626	 1.6518410177552294e-11
5.763839017455409	 1.6352625052932367e-11
5.957460685025867	 1.618240048097382e-11
6.151082352596327	 1.604568224164373e-11
6.344704020166786	 1.5923623693654196e-11
6.538325687737245	 1.581590690147215e-11
7.119190690448622	 1.5576200776136496e-11
7.312812358019082	 1.5501492245468147e-11
7.506434025589541	 1.5440236703970804e-11
7.752861602497398	 1.5387924647849938e-11
7.946483270067858	 1.534880694913821e-11
8.140104937638316	 1.5314119150797255e-11
8.333726605208776	 1.5279509745738447e-11
8.527348272779236	 1.5266551393436702e-11
8.720969940349693	 1.5266551393436702e-11
8.914591607920153	 1.5232049489943344e-11
9.108213275490613	 1.521913138806364e-11
9.301834943061072	 1.521913138806364e-11
9.49545661063153	 1.521913138806364e-11
9.68907827820199	 1.521913138806364e-11
9.88269994577245	 1.521913138806364e-11
10.076321613342909	 1.5266551393436702e-11
10.269943280913367	 1.5266551393436702e-11
10.463564948483826	 1.5288154757328577e-11
10.657186616054286	 1.5314119150797255e-11
10.850808283624746	 1.53184508348196e-11
11.238051618765663	 1.5387924647849938e-11
11.431673286336123	 1.541841843633895e-11
12.415036664663667	 1.5586686256926816e-11
13.367889962040715	 1.5908619270908863e-11
13.554741641234585	 1.6103860161805666e-11
13.752199635551777	 1.6148619541610463e-11
13.948754964752093	 1.6150723658835497e-11
14.142376632322552	 1.626047820322404e-11
14.33599829989301	 1.624113131489237e-11
14.52961996746347	 1.6242006242268084e-11
14.72324163503393	 1.6311054985843765e-11
14.916863302604389	 1.6375765295970998e-11
15.10168398528528	 1.6342915904357886e-11
15.339310577303571	 1.6590197897009114e-11
15.532932244874031	 1.66136743241976e-11
15.72655391244449	 1.6684303119750953e-11
15.920175580014948	 1.675049420488136e-11
16.11379724758541	 1.68312222270742e-11
16.307418915155868	 1.6912339313224643e-11
16.501040582726326	 1.6998654142913114e-11
16.694662250296787	 1.708057815733996e-11
16.88828391786725	 1.7162896999738676e-11
17.081905585437703	 1.7255369988154922e-11
17.275527253008164	 1.734834121725792e-11
17.469148920578625	 1.743688125242468e-11
17.66277058814908	 1.7535789149989727e-11
17.85639225571954	 1.762528585567318e-11
18.050013923290003	 1.7720250176369706e-11
18.243635590860457	 1.781572616094954e-11
18.43725725843092	 1.7916782995177226e-11
18.63087892600138	 1.8023509666641987e-11
18.824500593571834	 1.8125745119304886e-11
19.018122261142295	 1.821825275967178e-11
19.211743928712757	 1.8321592861131565e-11
19.40536559628321	 1.8430730903520503e-11
19.598987263853672	 1.8535276252993528e-11
19.792608931424134	 1.8640414619105643e-11
19.986230598994595	 1.87461493656482e-11
20.17985226656505	 1.8852483875492888e-11
20.37347393413551	 1.8954060289023912e-11
20.567095601705972	 1.9072359010262665e-11
20.760717269276427	 1.9180543891721815e-11
20.954338936846888	 1.928934243447845e-11
21.14796060441735	 1.9398758119427338e-11
21.341582271987804	 1.9508794447208142e-11
21.535203939558265	 1.962500441058166e-11
21.728825607128726	 1.9736324083971384e-11
21.92244727469918	 1.985388939561238e-11
22.116068942269642	 1.9966507382176684e-11
22.309690609840104	 2.0091125129239828e-11
22.503312277410558	 2.020508879725374e-11
23.10177924990107	 2.0622292125459e-11
23.295400917471532	 2.0747873106614656e-11
23.48650801793069	 2.0966150657480743e-11
23.682644252612448	 2.098550122246829e-11
23.879199581812763	 2.119176127060092e-11
24.078011573805277	 2.1349811751381174e-11
24.26215525764851	 2.1456688829547044e-11
24.458597753709213	 2.149794870737248e-11
24.656619913724455	 2.1693151721271336e-11
24.852498244087116	 2.1834815370768224e-11

