# CAPP 12T
# https://arxiv.org/pdf/2312.11003.pdf
# mass [eV] photon coupling [GeV^-1]
2.185476895527603162e-05 1.0
2.185476895527603162e-05 9.143930368017725267e-15
2.185512489867225583e-05 8.853306415522547913e-15
2.185596313766596530e-05 8.645430253170749596e-15
2.185693829489867242e-05 8.588914469310643793e-15
2.185794316911250691e-05 8.472138772348012014e-15
2.185861961565338843e-05 8.234534189596015803e-15
2.185899867225716143e-05 7.952356208559164885e-15
2.185978452131376597e-05 7.723980507264841394e-15
2.186070904961565306e-05 7.510239265050433130e-15
2.186149489867225760e-05 7.261556143612081584e-15
2.186213851260549411e-05 6.883630795514727846e-15
2.186288169112508994e-05 7.023872625639331338e-15
2.186314980433263553e-05 7.333549963677816491e-15
2.186366754018169108e-05 7.670024131876954882e-15
2.186468452131376655e-05 7.772451098396260087e-15
2.186570150244583863e-05 7.849111058614329596e-15
2.186653357791754074e-05 7.636708694224074477e-15
2.186736565338923946e-05 7.347543974726828068e-15
2.186820928546470919e-05 7.445273789400940306e-15
2.186856754018168828e-05 7.782287233356600977e-15
2.186930716282319863e-05 7.942184856137404032e-15
2.187018546470999493e-05 7.651556355402753624e-15
2.187083923829489889e-05 7.320571296110217117e-15
2.187138074772885838e-05 7.215409775431879530e-15
2.187203452131376572e-05 7.546789818709225300e-15
2.187282037037037026e-05 7.812473474067376180e-15
2.187383735150244234e-05 7.820056822438871651e-15
2.187485433263452119e-05 7.846207691876132678e-15
2.187587131376659666e-05 7.761986221352284715e-15
2.187688829489867212e-05 7.752031190515274920e-15
2.187790527603074758e-05 7.622405480879481270e-15
2.187892225716282305e-05 7.716642999500207065e-15
2.187993923829489851e-05 7.778905571760681561e-15
2.188095621942697398e-05 7.807125179091545015e-15
2.188197320055904944e-05 7.833283721320801130e-15
2.188299018169112490e-05 7.950249686765051247e-15
2.188400716282320037e-05 7.871161073600868898e-15
2.188502414395527583e-05 7.715699206625944553e-15
2.188604112508735130e-05 7.682001117458010498e-15
2.188705810621942676e-05 7.615273715768874040e-15
2.188807508735150223e-05 7.654847931544022176e-15
2.188909206848357769e-05 7.718165541334749258e-15
2.189010904961565315e-05 7.730910663900763259e-15
2.189112603074772523e-05 7.734366607024544570e-15
2.189214301187980408e-05 7.797696637147321481e-15
2.189315999301187955e-05 7.711341066133020600e-15
2.189417697414395501e-05 7.722023301309327068e-15
2.189519395527603048e-05 7.695538268627718006e-15
2.189621093640810594e-05 7.696928207290045602e-15
2.189722791754018140e-05 7.714838988401525558e-15
2.189824489867225687e-05 7.619165992479446865e-15
2.189926187980433233e-05 7.631911546640009002e-15
2.190009395527603106e-05 7.740928167069150283e-15
2.190092603074772978e-05 7.916489790764415899e-15
2.190194301187980524e-05 7.985020150861505237e-15
2.190295999301187732e-05 7.972997118893303596e-15
2.190397697414395278e-05 7.869047959444425691e-15
2.190476282320056071e-05 8.033389538822713699e-15
2.190531754018169093e-05 8.304392298402848163e-15
2.190554867225716525e-05 8.528359889252561807e-15
2.190565961565338926e-05 8.874913794769930875e-15
2.190582603074772697e-05 9.077233236996333604e-15
2.190896942697414512e-05 9.021715265129281937e-15
2.190902720999301370e-05 8.659710234888824662e-15
2.190915433263452186e-05 8.232505665579614887e-15
2.190922367225716145e-05 7.848462653612725830e-15
2.190931612508734982e-05 7.550183334578130738e-15
2.190957961565338904e-05 7.245480391103675056e-15
2.190986676326715408e-05 6.984651532090150994e-15
2.191104301187980487e-05 7.408713699564054722e-15
2.191165055904961464e-05 7.649867605043453847e-15
2.191239018169112500e-05 7.933032857026163723e-15
2.191340716282320046e-05 7.891035346180682379e-15
2.191442414395527592e-05 7.907935282428104924e-15
2.191544112508735139e-05 7.915536103839567411e-15
2.191645810621942685e-05 7.965509187792032446e-15
2.191747508735150232e-05 7.936940769159362019e-15
2.191849206848357778e-05 7.943510343055309869e-15
