# CAPP 12T
# https://arxiv.org/pdf/2312.11003.pdf
# mass [eV] photon coupling [GeV^-1]
2.191950904961565325e-05 7.860157526609235188e-15
2.192038735150244615e-05 7.687596401977723573e-15
2.192090904961565293e-05 7.312965659699977442e-15
2.192144285464710067e-05 7.182923601965856874e-15
2.192197445842068550e-05 7.691374749416194134e-15
2.192235197414395750e-05 7.957400137331727946e-15
2.192339206848357836e-05 7.838806776575431606e-15
2.192417791754017951e-05 7.712617423879617886e-15
2.192455433263452175e-05 7.416531437354918989e-15
2.192518565338923885e-05 7.228123715906485313e-15
2.192602697414395370e-05 7.483439506896328594e-15
2.192685391334731239e-05 7.663010445374886197e-15
2.192792225716282207e-05 7.741163139252891112e-15
2.192893923829489753e-05 7.746692371630992828e-15
2.192995621942697300e-05 7.631233561024941835e-15
2.193069584206848335e-05 7.763445262586802337e-15
2.193143546470999370e-05 7.892356553583102621e-15
2.193245244584206917e-05 7.809985918019608548e-15
2.193328452131376450e-05 7.499121652787132317e-15
2.193366754018168872e-05 7.190450648397346834e-15
2.193434002445841902e-05 6.874274836179908224e-15
2.193497508735150342e-05 7.119363001661855438e-15
2.193536470999301301e-05 7.454863502880232901e-15
2.193615055904961415e-05 7.693383238188956601e-15
2.193716754018169301e-05 7.626501962143895188e-15
2.193818452131376847e-05 7.693062105612381708e-15
2.193920150244584394e-05 7.682038945543771169e-15
2.194021848357791940e-05 7.529278113670305810e-15
2.194114301187980649e-05 7.431536644421671744e-15
2.194206754018169359e-05 7.814444443832212142e-15
2.194308452131376566e-05 7.800320705456918077e-15
2.194410150244584113e-05 7.804821249370017509e-15
2.194511848357791659e-05 7.815531006328084439e-15
2.194613546470999206e-05 7.736209523926714136e-15
2.194715244584206752e-05 7.696206887273216538e-15
2.194816942697414298e-05 7.652060715070642307e-15
2.194918640810622184e-05 7.651380281011526408e-15
2.195020338923829730e-05 7.711767386905511617e-15
2.195122037037036938e-05 7.686247367234381748e-15
2.195223735150244484e-05 7.675216918013368855e-15
2.195325433263452031e-05 7.771845021994848156e-15
2.195427131376659577e-05 7.727689882216624962e-15
2.195528829489867123e-05 7.773600365496990923e-15
2.195630527603074670e-05 7.654897216363241882e-15
2.195732225716282555e-05 7.801240409826286179e-15
2.195833923829490101e-05 7.606941210869921381e-15
2.195935621942697648e-05 7.719124956829808412e-15
2.196037320055904855e-05 7.779542849801687935e-15
2.196139018169112402e-05 7.777831974742125364e-15
2.196259206848357961e-05 7.785507036182773383e-15
2.196360904961565508e-05 7.623266286233230591e-15
2.196453357791754217e-05 7.716686933635777208e-15
2.196564301187980600e-05 7.857021108299257520e-15
2.196665999301187808e-05 7.861528161006935297e-15
2.196749206848358019e-05 7.751728837547805024e-15
2.196804678546471042e-05 7.523704083100609521e-15
2.196856187980433182e-05 7.278399337747814165e-15
2.196884187980433108e-05 6.981566814633821168e-15
2.196946659678546620e-05 6.704041141397121338e-15
2.197010716282319943e-05 7.065646758883771813e-15
2.197069709993011941e-05 7.511506233682523740e-15
2.197163703703703677e-05 7.723614570103552248e-15
2.197262320055904831e-05 7.771449234914709773e-15
2.197387131376659809e-05 7.857892016959908360e-15
2.197488829489867016e-05 7.829241848216111615e-15
2.197590527603074563e-05 7.819241613299416390e-15
2.197692225716282109e-05 7.852765211768331191e-15
2.197793923829489995e-05 7.883182821740294923e-15
2.197895621942697541e-05 7.862819588948880229e-15
2.197997320055905087e-05 7.933661901367347669e-15
2.198105418749664110e-05 7.959486184313576022e-15
2.198196864081062275e-05 7.826063459110748830e-15
2.198256187980433203e-05 7.911791732701694385e-15
2.198281612508735174e-05 7.537504191089129709e-15
2.198332791754018385e-05 7.434784126063291942e-15
2.198422603074772947e-05 7.512013805585751772e-15
2.198484546470999291e-05 7.835070093687048026e-15
2.198564055904961696e-05 7.976761473216170531e-15
2.198662980433263727e-05 7.937693797599588479e-15
2.198735621942697350e-05 7.892337000758264659e-15
2.198796112508735252e-05 7.741518335704822688e-15
2.198894112508734992e-05 7.707750307434269948e-15
2.198995810621942877e-05 7.522498237489788377e-15
2.199097508735150424e-05 7.545659413543383854e-15
2.199199206848357970e-05 7.628969580526604759e-15
2.199300904961565517e-05 7.691546157440123504e-15
2.199402603074772724e-05 7.751017155653540489e-15
2.199504301187980271e-05 7.698480443008884638e-15
2.199579804332634333e-05 7.465894511158817236e-15
2.199613923829489920e-05 7.173442804324724370e-15
2.199686895527603150e-05 6.875806200155982939e-15
2.199764093640810676e-05 6.807016419334763630e-15
2.199827886093640923e-05 7.114154333990279983e-15
2.199878735150244527e-05 7.352802235529617030e-15
2.199957320055904981e-05 7.618113612440316353e-15
2.200049772886093690e-05 7.619010104732144555e-15
2.200128713379562352e-05 7.218888507045392000e-15
2.200202320055905179e-05 7.293017800759994049e-15
2.200229131376659739e-05 7.624449857583821892e-15
2.200249470999300977e-05 7.962333737093189035e-15
2.200262414395527620e-05 8.318456252001349353e-15
2.200271659678546457e-05 8.497290639541829936e-15
2.200284603074772761e-05 8.756791544031564145e-15
2.200284603074772761e-05 1.0
