# ADMX SIDECAR runs A and C only 1901.00920 [chunks separated by boundary points with g_ap = 1]
# m_a [eV]  g_ap [GeV^-1]
0.000017378597785977862  1
0.000017378597785977862  2.596358392987303e-13
0.000017407195571955723  2.911309635722663e-13
0.00001743948339483395  2.911309635722663e-13
0.000017473616236162366  2.697361947693768e-13
0.000017503136531365317  2.4991369477126347e-13
0.0000175289667896679  2.596358392987303e-13
0.000017555719557195573  2.596358392987303e-13
0.00001757416974169742  2.596358392987303e-13
0.000017829704797047972  1
0.000029665987460815046  1
0.000029665987460815046  1.2717320147012666e-12
0.000029669278996865202  1.372026935123991e-12
0.000029671630094043884  1.320927923253058e-12
0.00002967539184952978  1.372026935123991e-12
0.000029684796238244513  1.372026935123991e-12
0.000029694200626959247  1.425102670303002e-12
0.000029704075235109716  1.425102670303002e-12
0.000029715360501567396  1.372026935123991e-12
0.000029718181818181817  1.5969697997905758e-12
0.0000297205329153605  1.5374931403548444e-12
0.000029722413793103445  9.75014308321881e-13
0.00002972335423197492  9.75014308321881e-13
0.000029724294670846394  9.037409390018221e-13
0.0000297257053291536  1.5969697997905758e-12
0.00002972711598746081  1.6587472649501154e-12
0.000029728526645768022  1.5969697997905758e-12
0.000029733699059561128  1.6587472649501154e-12
0.000029740752351097176  1.6587472649501154e-12
0.000029749686520376174  1.6587472649501154e-12
0.000029754858934169277  1.6587472649501154e-12
0.00002976050156739812  1.7229145406132828e-12
0.00002976708463949843  1.5969697997905758e-12
0.00002977319749216301  1.5374931403548444e-12
0.000029782131661442003  1.4802315967078385e-12
0.00002978683385579937  1.425102670303002e-12
0.00002978824451410658  1.372026935123991e-12
0.00002978824451410658  1
