#  W. Yin, Y. Fujita, Y. Ezoe, Y. Ishisaki, 2025
# https://arxiv.org/abs/2503.04726
# mass [eV]	photon coupling [GeV^-1]
3652.6666666666665	3.0954866176352077e-17
3653.3333333333335	3.122805774826989e-17
3654.	3.17358404023078e-17
3654.6666666666665	3.244447753664026e-17
3655.3333333333335	3.3372291123340106e-17
3656.	3.457612182231518e-17
3656.6666666666665	3.6151312705096166e-17
3657.3333333333335	3.825020715157377e-17
3658.	4.112865936208947e-17
3658.6666666666665	4.525556220246218e-17
3659.3333333333335	5.1601285200370176e-17
3660.	6.25499307856754e-17
3660.6666666666665	8.506520650942259e-17
3661.3333333333335	1.109473936711574e-16
3662.	7.564192948542323e-17
3662.6666666666665	5.536455485758912e-17
3663.3333333333335	4.5056166035506346e-17
3664.	3.8795206678254494e-17
3664.6666666666665	3.455949945704757e-17
3665.3333333333335	3.1498778416537154e-17
3666.	2.919057663421635e-17
3666.6666666666665	2.7398850132395974e-17
3667.333333333333	2.5979925570788853e-17
3668.	2.484014881475296e-17
3668.666666666667	2.3914424530553376e-17
3669.3333333333335	2.3153799331132398e-17
3670.	2.2518146710606297e-17
3747.333333333333	2.064407040739519e-17
3748.	2.025805732683771e-17
3748.666666666667	1.9931325632484826e-17
3749.3333333333335	2.267269333303627e-17
3750.	2.2393782966689204e-17
3750.6666666666665	2.2162798155803035e-17
3751.333333333333	2.197379938480537e-17
3752.	2.182191021552239e-17
3752.666666666667	2.1703225157916434e-17
3753.3333333333335	2.1614748925839197e-17
3754.	2.155438140904927e-17
3754.6666666666665	2.1520885534606457e-17
3755.333333333333	2.1513874195917203e-17
3756.	2.1533712607391942e-17
3756.666666666667	2.1580991633774548e-17
3757.3333333333335	2.165463656004824e-17
3758.	2.1747241820157745e-17
3758.6666666666665	2.1838064704812703e-17
3759.333333333333	2.189072964399235e-17
3760.	2.1868696033254222e-17
3760.666666666667	2.1770756638141496e-17
3761.3333333333335	2.165749109315118e-17
3762.	2.1632845335116262e-17
3762.6666666666665	2.1790270526573923e-17
3763.333333333333	2.2175554732912476e-17
3764.	2.279250670011662e-17
3764.666666666667	2.222343699409554e-17
3765.3333333333335	2.3195891781179152e-17
3766.	2.442439048653988e-17
3766.6666666666665	2.5957406049898476e-17
3767.333333333333	2.785291730053075e-17
3768.	3.013993767921194e-17
3768.666666666667	3.2707736082393466e-17
3769.3333333333335	3.512365246027758e-17
3770.	3.6776868962477984e-17
3770.6666666666665	3.7207458088668617e-17
3771.333333333333	3.6479075997757766e-17
3772.	3.504298448770538e-17
3772.666666666667	3.335228843095526e-17
3773.3333333333335	3.168588252007093e-17
3774.	3.017016637613504e-17
3774.6666666666665	3.154094618594824e-17
3775.333333333333	2.987905185819116e-17
3776.	2.853256650019395e-17
3776.666666666667	2.7435417646000532e-17
3777.3333333333335	2.6537356063065844e-17
3778.	2.5799930997145032e-17
3778.6666666666665	2.5193441059687053e-17
3779.333333333333	2.469469141013674e-17
3780.	2.4285375256694615e-17
3780.666666666667	2.3950915972536864e-17
3781.3333333333335	2.3679637669442282e-17
3782.	2.3462148786792292e-17
3782.6666666666665	2.329095891187631e-17
3783.333333333333	2.314708381152055e-17
3784.	2.3047753667141755e-17
3784.666666666667	2.2979459857760947e-17
3785.3333333333335	2.2939367486762775e-17
3786.	2.2925424475453774e-17
3786.6666666666665	2.2936230065858306e-17
3787.333333333333	2.2970901259577488e-17
