# BabyIAXO projection
# unpolarised DP
# mass [eV]  kinetic mixing
1.049999999999999900e-06 8.056098220442385882e-01
1.050007415647091042e-06 1.973733910789202988e-16
1.050014831367194095e-06 1.973633134915423079e-16
1.050022247160310329e-06 1.973532373366207938e-16
1.050029663026440803e-06 1.973436713510780273e-16
1.050037078966899054e-06 1.973361763965792960e-16
1.050044494987026471e-06 1.973286822214637499e-16
1.050051911086824748e-06 1.973211888257078957e-16
1.050059327266295156e-06 1.973136962091177476e-16
1.050066743525439177e-06 1.973062043715568080e-16
1.050074159864258293e-06 1.972987133128313622e-16
1.050081576282753987e-06 1.972912230329177937e-16
1.050088992780927529e-06 1.972837335316228563e-16
1.050096409358780402e-06 1.972762448088098798e-16
1.050103826016314088e-06 1.972687568643419722e-16
1.050111242753530069e-06 1.972612696980256653e-16
1.050118659570429827e-06 1.972537833098377125e-16
1.050126076467014845e-06 1.972462976995846454e-16
1.050133493443286394e-06 1.972388128671302625e-16
1.050140910499245955e-06 1.972313288123375977e-16
1.050148327634895011e-06 1.972238455350704492e-16
1.050155744850235044e-06 1.972163630351920237e-16
1.050163162145267537e-06 1.972088813125660454e-16
1.050170579519993760e-06 1.972014003669993667e-16
1.050177996974415196e-06 1.971939201984691106e-16
1.050185414508533326e-06 1.971864408067819815e-16
1.050192832122349633e-06 1.971789621918016050e-16
1.050200249815865600e-06 1.971714843533920014e-16
1.050207667589082496e-06 1.971640072913600969e-16
1.050215085442002016e-06 1.971565310056828172e-16
1.050222503374625431e-06 1.971490554961673846e-16
1.050229921386954223e-06 1.971415807626779424e-16
1.050237339478989874e-06 1.971341068050212196e-16
1.050244757650733655e-06 1.971266336231749556e-16
1.050252175902187259e-06 1.971191612168894020e-16
1.050259594233351958e-06 1.971116895861419529e-16
1.050267012644229233e-06 1.971042187307398305e-16
1.050274431134820567e-06 1.970967486504907993e-16
1.050281849705127230e-06 1.970892793453153075e-16
1.050289268355150917e-06 1.970818108151342965e-16
1.050296687084892899e-06 1.970743430596982890e-16
1.050304105894354656e-06 1.970668760789849751e-16
1.050311524783537672e-06 1.970594098727453459e-16
1.050318943752443430e-06 1.970519444409001208e-16
1.050326362801073410e-06 1.970444797833135665e-16
1.050333781929428885e-06 1.970370158998501468e-16
1.050341201137511335e-06 1.970295527903740544e-16
1.050348620425322244e-06 1.970220904547499257e-16
1.050356039792863094e-06 1.970146288928420027e-16
1.050363459240135367e-06 1.970071681045145026e-16
1.050370878767140333e-06 1.969997080895755104e-16
1.050378298373879687e-06 1.969922488480027408e-16
1.050385718060354700e-06 1.969847903796043280e-16
1.050393137826566853e-06 1.969773326841878886e-16
1.050400557672517629e-06 1.969698757616747830e-16
1.050407977598208298e-06 1.969624196119862483e-16
1.050415397603640555e-06 1.969549642348739413e-16
1.050422817688815670e-06 1.969475096302589759e-16
1.050430237853735125e-06 1.969400557980059639e-16
1.050437658098400402e-06 1.969326027379800593e-16
1.050445078422812773e-06 1.969251504500459725e-16
1.050452498826973932e-06 1.969176989340683398e-16
1.050459919310885148e-06 1.969102481898556901e-16
