# FLASH projection
# unpolarised DP
# mass [eV]  kinetic mixing
8.529527652135926943e-07 4.745589198510834718e-17
8.531806534747144871e-07 4.725799604988740458e-17
8.533468902062036026e-07 4.713530225426950311e-17
8.534396300518807999e-07 4.702536230166362976e-17
8.535212467961016527e-07 4.693759589089217458e-17
8.535709570438264013e-07 4.686520053176033179e-17
8.536004156813258705e-07 4.676137016989114363e-17
8.536162468873435936e-07 4.666911573261078508e-17
8.536232020172743484e-07 4.660145579067557349e-17
8.536261102807758830e-07 4.653879038037172125e-17
8.536152829005277644e-07 4.652860793438954159e-17
8.536032468207413518e-07 4.639788025384010502e-17
8.535971293764565225e-07 4.639620682139606178e-17
8.535831680848625385e-07 4.630078444066993622e-17
8.535870483935118081e-07 4.622652038469740586e-17
8.536002106806494063e-07 6.670871688901544526e-17
8.536822694011625632e-07 6.672450745537703960e-17
8.538007157125709487e-07 6.671488739909279412e-17
8.539516940724437609e-07 6.677231917330549803e-17
8.541073242950312075e-07 6.677840590247647499e-17
8.543155072430893999e-07 6.684618655960066538e-17
8.545318235628961271e-07 6.689846993505491014e-17
8.547850672217065252e-07 6.698668922892234600e-17
8.550700956100279605e-07 6.694765139857363109e-17
8.553644955529475064e-07 6.699248652073549823e-17
8.556994195917748332e-07 6.706607942052753098e-17
8.560557609861505672e-07 6.714313957056200231e-17
8.564512794132737841e-07 6.717998376233810948e-17
8.568631181994799044e-07 6.725867346307177631e-17
8.573040771629079407e-07 6.737884471998506605e-17
8.577740447154104224e-07 6.736487658505534138e-17
8.582865187665403722e-07 6.740658218330988530e-17
8.588111423457198976e-07 6.750503866122124103e-17
8.593847784535026354e-07 6.760721145263741225e-17
8.599580348574329710e-07 6.765696795659160986e-17
8.605822972459820886e-07 6.794875162680438144e-17
8.612401249786061495e-07 6.781802302655179497e-17
8.619223301243111506e-07 6.792231720729908162e-17
8.626413765367389069e-07 6.805632383752489325e-17
8.633938936100247022e-07 6.813185614756455840e-17
8.641841355417970720e-07 6.822172477015209995e-17
8.649998793519635385e-07 6.833155791205104994e-17
8.658456974365041314e-07 6.843509017541335943e-17
8.667309305635732307e-07 6.856940758039828129e-17
8.676528927628416567e-07 6.871986039571809398e-17
8.686158007992613112e-07 6.880691406253537928e-17
8.696105971778489780e-07 6.893122499026722567e-17
8.706480646972646537e-07 6.904543859230109986e-17
8.717154286648830763e-07 6.926312668135929416e-17
8.728297633184801547e-07 6.939969468830175077e-17
8.739847882395305405e-07 6.948176407813100753e-17
8.751674649752774742e-07 6.963515085612552806e-17
8.764058514930760187e-07 6.978318873939051323e-17
8.776787872698274296e-07 6.992313976380870883e-17
8.790019481822769855e-07 7.022473602604884325e-17
8.803605878680999685e-07 7.028384076769722555e-17
8.817710270832510637e-07 7.045447478186516745e-17
8.832180607917232250e-07 7.065669006826140641e-17
8.847152232416184045e-07 7.080458210210530171e-17
8.862740965798430114e-07 7.098804062776179323e-17
8.878608586976436518e-07 7.122113898280820506e-17
8.895071033878756056e-07 7.135683004578355790e-17
8.912089567632328236e-07 7.157651513427092541e-17
8.929577914442026634e-07 7.189422282299844407e-17
8.947582922832288631e-07 7.200649607136569010e-17
8.966116633184720835e-07 7.223544348646809536e-17
8.985151154711836129e-07 7.255843319378265665e-17
9.004703749888577047e-07 7.288160732908804090e-17
9.025180287169117503e-07 7.286958951683540476e-17
9.046031059214584775e-07 7.312005894051547472e-17
9.067452722167905041e-07 7.341338427541175955e-17
9.089492186723897009e-07 7.376233764720431705e-17
9.112234497963455366e-07 7.388923899705536473e-17
9.135543274392213619e-07 7.408589447696695171e-17
9.159491423731815976e-07 7.443496256274965962e-17
9.184174867037930853e-07 7.470302726482854211e-17
9.209491733528212136e-07 7.495833448257663463e-17
9.235532642001405608e-07 7.520259241177050125e-17
9.262077200806330578e-07 7.555450715548788103e-17
9.289644302349689025e-07 7.576031575286555428e-17
9.317710472002571419e-07 7.605321481516871767e-17
9.346806565944717038e-07 7.632740982441763009e-17
9.376661034862805595e-07 7.662020290784281475e-17
9.407096765187331415e-07 7.703986957384799767e-17
9.438393766059324033e-07 7.726902512259011800e-17
9.470480112769784880e-07 7.753209513169094028e-17
9.503396785136024196e-07 7.786279669950616855e-17
9.537100111985704318e-07 7.821507667054161641e-17
9.571857090265820732e-07 7.852603705429622834e-17
9.607345581313411054e-07 7.886988008302053231e-17
9.643862197190148403e-07 7.929236007860934501e-17
9.681282658298106833e-07 7.967543921143060611e-17
9.719780224849410501e-07 7.993568336315984267e-17
9.759036515992233532e-07 8.033155941641415576e-17
9.799328595049498064e-07 8.067915650624306544e-17
9.840570746418175757e-07 8.103891655385214118e-17
9.883017314094383176e-07 8.139255380731335632e-17
9.926225211151656602e-07 8.177706340375056405e-17
9.970770665699388007e-07 8.218852964838508769e-17
1.001603156611089679e-06 8.259011714337451611e-17
1.006271447126471421e-06 8.297307709108190323e-17
1.011048421989308152e-06 8.334907740833826466e-17
1.015930722723359934e-06 8.372985685238864115e-17
1.020931727623887665e-06 8.408627671039680760e-17
1.026057872159564782e-06 8.453617040826824475e-17
1.031277198309439831e-06 8.490027882020209585e-17
1.036638348756020249e-06 8.539456298239561487e-17
1.042115493437209952e-06 8.582241576682170064e-17
1.047705218369640328e-06 8.614883839374059553e-17
1.053458717739817015e-06 8.695723573984174613e-17
1.059315639312287967e-06 8.703213738968019697e-17
1.065293175818028536e-06 8.733827559039674715e-17
1.071423482104539827e-06 8.772634329866985118e-17
1.077664178727490279e-06 8.810734921074779491e-17
1.084069923441935183e-06 8.856563903431966857e-17
1.090592511881597215e-06 8.888076140157147563e-17
1.097242579275343976e-06 8.929511759498168354e-17
1.104031117073931202e-06 8.990228348931850979e-17
1.110969216395541056e-06 9.011158943531027369e-17
1.118030748060011093e-06 9.046565579431782555e-17
1.125228024130881470e-06 9.085119221068430836e-17
1.132565793153104880e-06 9.116119283349064543e-17
1.140044181495762623e-06 9.150272393668024579e-17
1.147664996211882445e-06 9.202371938251517983e-17
1.155419041795482225e-06 9.225559417683319665e-17
1.163315143436814177e-06 9.248535427152809630e-17
1.171340970670262336e-06 9.287356981392602050e-17
1.179491024259825813e-06 9.303810075854217140e-17
1.187761542405806627e-06 9.323811378140997052e-17
1.196155966198581173e-06 9.347594064133153697e-17
1.204707695690412898e-06 9.384080939974279692e-17
1.213307345798384835e-06 9.383157786715948199e-17
1.222067723281208198e-06 9.411223105291252718e-17
1.230913104650298996e-06 9.450788471330259757e-17
1.239833284542667970e-06 9.441217788344869992e-17
1.248876613413769658e-06 9.432809007033441447e-17
1.257972325847422315e-06 9.429238781798813126e-17
1.267105420050528987e-06 9.424503073562843385e-17
1.276315374387049413e-06 9.412369172142456135e-17
1.285569784557929697e-06 9.405581910600423172e-17
1.294810709290904853e-06 9.379633200090271614e-17
1.304106701594819351e-06 9.356457127025585374e-17
1.313384648145150952e-06 9.336068519845063414e-17
1.322587907347678137e-06 9.289384729443135471e-17
1.331762800400747223e-06 9.245807466895065482e-17
1.340879118534831430e-06 9.193867233488459721e-17
1.349885588498023618e-06 9.130066867691197788e-17
1.358770763845799401e-06 9.072422100997649931e-17
1.367517131226266033e-06 8.992134802781380931e-17
1.376104778717962293e-06 8.919697819905438074e-17
1.384493970923461981e-06 8.838665458051074304e-17
1.392675554412304159e-06 8.751733862567426520e-17
