# Rb/Cs clock comparison
# https://arxiv.org/pdf/1604.08514.pdf
# mass [eV] 	d_e
4.302441661917026e-25	7.905304928637611e-8
4.628022432408064e-25	7.33397499402668e-8
4.978241035656215e-25	6.821559066753547e-8
5.354961902420246e-25	6.361379189903992e-8
5.760190551438885e-25	5.9169173504532744e-8
6.196084266050475e-25	5.489291593641975e-8
6.664963578749744e-25	5.105761455576381e-8
7.169324624820775e-25	4.749028102541298e-8
7.7118524308130335e-25	4.417219275705664e-8
8.295435208602182e-25	4.097979268807411e-8
8.923179731132627e-25	3.8018112842932215e-8
9.598427871696075e-25	3.536183346354348e-8
1.0324774394795103e-24	3.2976337126241825e-8
1.1106086093303005e-24	3.059308073017379e-8
1.1946522373800127e-24	2.8603176984512368e-8
1.2850557399673605e-24	2.6604707741105632e-8
1.382300390986309e-24	2.4618175879209236e-8
1.4869038840054008e-24	2.3016905290429545e-8
1.5994230882716014e-24	2.1353434100736542e-8
1.7204570132705054e-24	1.986149558934173e-8
1.850649997625287e-24	1.852164636940369e-8
1.990695139310627e-24	1.7183055245513684e-8
2.1413379854429637e-24	1.5982496040691376e-8
2.303380501290026e-24	1.49043227099642e-8
2.4776853396291692e-24	1.3862975780362637e-8
2.665180433182972e-24	1.2927784510310126e-8
2.866863934580344e-24	1.2055680900904111e-8
3.0838095301419467e-24	1.1213365115429358e-8
3.3171721557780754e-24	1.0456915610647309e-8
3.568194145428583e-24	9.701176399320925e-9
3.838211844776714e-24	9.140831943557898e-9
4.128662725445584e-24	8.50217311526611e-9
4.441093037551029e-24	7.969744980589176e-9
4.7771660413495275e-24	7.432108902414001e-9
5.138670861803779e-24	6.966690964437296e-9
5.5275320132041375e-24	6.513547831607045e-9
5.945819644551362e-24	6.089879050356246e-9
6.395760560243282e-24	5.723300768866178e-9
6.879750074735012e-24	5.406688052531956e-9
7.400364764283173e-24	5.107590336054042e-9
7.960376183658584e-24	4.8125735453772916e-9
8.562765620850693e-24	4.593627826922357e-9
9.210739968312011e-24	4.373315524661798e-9
9.907748795234595e-24	4.152813205719618e-9
1.0657502711746004e-23	4.015484253730993e-9
1.1463993122787288e-23	3.892753270593981e-9
1.2331513476836202e-23	3.8228999578405846e-9
1.3264682122595377e-23	3.8031730906561256e-9
1.4268466895325807e-23	3.8031730906561256e-9
1.534821156371411e-23	3.852682278615199e-9
1.6509664278065844e-23	4.005110535054804e-9
1.7759008171274154e-23	4.23964763307154e-9
1.9102894275469196e-23	4.511197706397965e-9
2.0548476929585858e-23	4.875222970619161e-9
2.2103451866345784e-23	5.28226915029317e-9
2.3776097181413217e-23	5.606078870293641e-9
2.5575317402831672e-23	5.888493467549135e-9
2.7510690895346774e-23	6.089879050356246e-9
2.959252085198049e-23	6.4132339392377104e-9
3.1831890144315536e-23	7.039150149380769e-9
3.414623892097506e-23	7.784514089050938e-9
3.6386751088855293e-23	9.492654346134363e-9
3.866728393251516e-23	1.1489367428500411e-8
4.1204445356067265e-23	1.3862975780362637e-8
4.3985799372013416e-23	1.644380180798802e-8
4.7545014592440853e-23	1.9606263922889735e-8
5.1142911717004617e-23	2.12982690187353e-8
