# DAMNED
# (DArk Matter from Non Equal Delays: a three-arm Mach-Zender interferometer with a 1542 nm laser source is stabilized on an ultrastable cavity
# https://journals.aps.org/prl/pdf/10.1103/PhysRevLett.126.051301
# mass [eV] 	d_e
3.263357295172567e-10	4153802.8083509547
3.2973513443390714e-10	125255.46290720334
3.316823668616991e-10	70539.33480558493
3.345538747046634e-10	35938.37933926649
3.3800249327587986e-10	17918.909558765652
3.409742804239003e-10	18.997153179905595
3.4195827295528324e-10	10475.461188943707
3.518647809904783e-10	20182.898083111126
3.6371349323715004e-10	31979.552717502684
3.7143361206303144e-10	38108.38301964681
3.773591145084963e-10	30496.42501595989
3.8687369611119075e-10	51689.586115241655
3.9834580361309527e-10	62400.36861257555
4.096489672656739e-10	45225.55821409228
4.2185918569860295e-10	73273.65673689518
4.2324199408082845e-10	156662.4345339087
4.3460624824181924e-10	82857.71825464308
4.4240353132235233e-10	51136.06342629407
4.539586000528121e-10	89148.39824541014
4.6441400559125904e-10	148309.36607196362
4.724048606684577e-10	75982.54402930156
4.857813937431406e-10	90455.5808171196
4.974726611297443e-10	194424.17274810636
5.069685369799633e-10	109921.38173219543
5.220381975923822e-10	135175.4828381796
5.304058384521818e-10	249593.55020761548
5.30620035031884e-10	408695.62815738004
5.463920174638821e-10	155884.01096873957
5.603094411357209e-10	359917.8023309168
5.606846272998676e-10	995611.1395887993
5.614775122002175e-10	5137936.247447052
5.614775122002175e-10	2321359.847266127
5.675401940486521e-10	161013.76953452296
5.701082801460729e-10	2770.9133868033455
5.702735984100013e-10	23497.315011429095
5.736413173079125e-10	36730.270343474804
5.74317243884265e-10	63025.13053189775
5.900505430068308e-10	90573.66572242294
6.000357364454979e-10	393811.069068836
6.008842692069347e-10	1077939.4626589625
6.021593187697891e-10	189780.63496957123
6.150388795863082e-10	98846.81893205577
6.340333780184724e-10	168799.69766647127
6.340333780184724e-10	703045.2672507353
6.349299881041986e-10	1544744.625897435
6.349299881041986e-10	5916104.48788614
6.351094622155475e-10	342966.6217885335
6.534385821622752e-10	132310.09124664898
6.661810183833622e-10	767462.8413629616
6.684712171733293e-10	258541.92326766066
6.690112306852114e-10	1229434.720109853
6.697679825657585e-10	478207.11217445874
6.883743327412169e-10	153827.07201804558
7.039264093827099e-10	883583.9611524292
7.04277583499573e-10	372225.66665841267
7.195715508790882e-10	177097.6295497908
7.385734192043847e-10	796015.5511165104
7.400030306082975e-10	383018.871046417
7.406637842520567e-10	200469.44497960855
7.629162903923032e-10	277298.3523099217
7.788291481560283e-10	571766.0772277096
7.926465567326908e-10	7664814.474282745
7.926465567326908e-10	4261292.73064755
7.926465567326908e-10	2296059.8777946425
7.926465567326908e-10	1258055.835754858
7.937674675897874e-10	687804.1184306262
8.000000000000003e-10	2474.2445535888396
8.016583527438222e-10	351090.7298133838
8.048745399514727e-10	212244.27902203854
8.232802158828233e-10	255357.4191728315
8.232802158828233e-10	1e30
