# PTB Bounds from the comparison of an Yb+ electric-octupole (E3) transition to Yb+ electric-quadrupole (E2) transition, and to that of the 1S0 ↔ 3P0 transition of 87Sr
# https://arxiv.org/pdf/2301.03433.pdf
# mass [eV] 	d_e
1.0161942757441779e-23	 1e0
1.0161942757441779e-23	 1.2295426265956216e-9
2.8411121153323096e-23	 5.071403956558121e-10
3.793759251030775e-23	 4.311370885398926e-10
5.85385364818186e-23	 4.573581371045014e-10
7.569544865646279e-23	 5.707031326057156e-10
9.178901251945093e-23	 6.614740641230159e-10
1.0953045296898868e-22	 5.878016072274923e-10
1.6105593898448965e-22	 9.018373235937234e-10
1.984606541940525e-22	 1.1937766417144357e-9
2.871703086013784e-22	 1.6763279042293361e-9
3.5959525589000176e-22	 2.0309176209047387e-9
3.9598106431746087e-22	 2.2189823414589743e-9
4.2226141174962483e-22	 2.6489692876105297e-9
4.395651528580503e-22	 2.937302790989705e-9
4.763289490929911e-22	 2.7283333764867584e-9
5.460209450679834e-22	 3.4551072945922183e-9
6.309573444801943e-22	 4.1859580509278726e-9
7.060528482051168e-22	 4.710607541983278e-9
8.028809671591666e-22	 4.124626382901365e-9
8.841208405518383e-22	 5.071403956558121e-9
9.427978959857022e-22	 4.641588833612773e-9
1.072093241304693e-21	 5.379838403443676e-9
1.190094355406772e-21	 9.152473108773855e-9
1.2589254117941713e-21	 7.896522868499733e-9
1.3863103483518967e-21	 8.886238162743407e-9
1.4783165599779125e-21	 8.886238162743407e-9
1.5513067222578326e-21	 1.2663801734674021e-8
1.6279006889825384e-21	 1.02996036580999e-8
1.7359406927773204e-21	 1.1590510483144816e-8
1.8811291124922244e-21	 9.709111468707553e-9
2.1391072425080776e-21	 1.125335582600767e-8
2.3180151979656854e-21	 1.125335582600767e-8
2.452081403786391e-21	 1.3043213867190066e-8
2.5939015482175656e-21	 1.4677992676220675e-8
2.766052794917901e-21	 1.511775070615663e-8
2.949629321718365e-21	 1.6517667439704583e-8
3.0952638418789527e-21	 1.8047217668271702e-8
3.1707557646137982e-21	 2.0917646557569948e-8
3.4084595121174656e-21	 1.9718405565126418e-8
3.753346027746595e-21	 2.0917646557569948e-8
4.1000645832177934e-21	 2.0011610959230993e-8
4.26808006865337e-21	 2.4244620170823306e-8
4.5513426717928476e-21	 2.571913809059347e-8
4.932002133747967e-21	 2.3889393726206572e-8
5.3444987120059295e-21	 2.4970997860065484e-8
5.7914951591731594e-21	 2.8100752424979123e-8
6.480789372329292e-21	 3.257020655659783e-8
7.022821465584874e-21	 3.354602185954043e-8
7.3695651146201e-21	 3.558623573050966e-8
8.11525789021195e-21	 3.665241237079626e-8
8.65384878779429e-21	 4.1246263829013564e-8
9.377628485556635e-21	 4.506570337745478e-8
1.0000000000000001e-20	 4.7806525330073854e-8
1.0493738379559319e-20	 4.1246263829013564e-8
1.1555552038422916e-20	 5.707031326057167e-8
1.2930874805859372e-20	 5.707031326057167e-8
1.3900270630715e-20	 6.235507341273912e-8
1.4469886223421848e-20	 4.2482016981626166e-8
1.5934028198236045e-20	 6.235507341273912e-8
1.72666983657251e-20	 4.923882631706742e-8
1.8710828721009718e-20	 5.707031326057167e-8
1.963465414630189e-20	 7.554489609534968e-8
2.093776073187734e-20	 8.756039101412327e-8
2.2507413067086e-20	 7.443803013251697e-8
2.419473837052545e-20	 8.133105582266936e-8
2.559408069451332e-20	 8.886238162743444e-8
2.7074356273894436e-20	 7.896522868499733e-8
2.7512805864989994e-20	 1.1253355826007646e-7
2.9338767159911536e-20	 1.0299603658099899e-7
3.204896091604052e-20	 9.426684551178854e-8
3.4451592553065804e-20	 1.1253355826007646e-7
3.673806507277209e-20	 1.5570684047537316e-7
3.9810717055349855e-20	 1.304321386719004e-7
4.31403556317323e-20	 1.266380173467405e-7
4.750553200655346e-20	 1.3433993325988987e-7
5.2312400724988064e-20	 1.304321386719004e-7
5.489526472146894e-20	 1.4677992676220674e-7
5.948652568326531e-20	 1.4677992676220674e-7
6.142880869624882e-20	 1.603718743751331e-7
6.656651397424911e-20	 1.6517667439704583e-7
6.764451045687677e-20	 2.0309176209047348e-7
7.098437955478294e-20	 2.2854638641349884e-7
7.448915080832315e-20	 2.030917620904739e-7
7.94328234724279e-20	 1.9144819761699575e-7
8.335472682693836e-20	 2.0309176209047348e-7
8.960362532616375e-20	 2.1864703366401695e-7
9.63209883497205e-20	 2.3539371975499857e-7
1.010767252202548e-19	 2.5719138090593415e-7
1.0271358957979011e-19	 2.5719138090593415e-7
1.0953045296898777e-19	 2.894266124716752e-7
1.2256658704505807e-19	 2.9809793965647276e-7
1.3496854252912365e-19	 3.257020655659783e-7
1.4625687137731605e-19	 3.4551072945922185e-7
1.4625687137731605e-19	 3.558623573050966e-7
1.5471587709823282e-19	 4.375479375074189e-7
1.6366412327064065e-19	 4.2482016981626166e-7
1.802245515249993e-19	 4.2482016981626166e-7
1.9218563819475413e-19	 4.5065703377454686e-7
2.0494055452373408e-19	 4.923882631706742e-7
2.1163202882234068e-19	 5.223345074266844e-7
2.3304611127119366e-19	 5.223345074266844e-7
2.445524922053576e-19	 5.878016072274911e-7
2.650060653189823e-19	 6.235507341273913e-7
2.871703086013784e-19	 6.812920690579622e-7
3.162277660168379e-19	 7.443803013251696e-7
