
# MICROSCOPE EP violation limit
# https://arxiv.org/abs/1712.00483
# mass [eV] 	d_e
1e-30	0.00010806885332656918
2.1212383097307888e-14	0.00010806885332656918
2.6938231371876054e-14	0.00011423012425445679
3.235488889346068e-14	0.00012165334932250566
3.886035138160813e-14	0.00013063651772332024
4.667384006400553e-14	0.00014028302433033137
5.605783494777566e-14	0.00015189474493740432
6.73283701576533e-14	0.0001648085178409929
8.086505538058678e-14	0.00017845030003075447
9.712267992046889e-14	0.00019442528271758537
1.1664803006253824e-13	0.0002131503370352953
1.4009806872609082e-13	0.00023464854206485536
1.6825648022218085e-13	0.0002664641798222204
2.020693227070844e-13	0.00030956499635777376
2.4267382560900915e-13	0.00036413339874436553
2.8661894720341145e-13	0.000431949534828102
3.499740548140301e-13	0.000538337557823145
4.202737321066778e-13	0.0006682585472320642
5.046532960340266e-13	0.0008924791440896831
6.059678718919394e-13	0.0012027348740164885
7.276067290829131e-13	0.0016524345547550385
8.735818030388951e-13	0.0024663213979198265
1.0487603273197711e-12	0.003949575828902241
1.2590963962203637e-12	0.006195244948191381
1.4942154052972497e-12	0.009617164368070126
1.7536212069389395e-12	0.014845261398389896
1.9876309121703974e-12	0.027657082753493323
2.5799994239369206e-12	0.10900150730802102
2.9242486701506074e-12	0.2010767946706568
3.213503954152275e-12	0.3374330962645069
3.46174689326844e-12	0.5619159365851422
3.698203366443832e-12	0.9410472572083752
3.9506978863969136e-12	1.6168884440366846

