# Sr/Si
# Bounds from the comparison of an Sr clock with a Si cavity
# https://arxiv.org/pdf/2008.08773.pdf
# mass [eV] 	d_e
4.665220811357794e-21	0.000009466053016225149
5.20850144087532e-21	0.000009899785866424052
5.819940815965872e-21	0.000010375774891460195
6.503158631295906e-21	0.000010874649820798924
7.266581142505915e-21	0.000011401628955788118
8.119623785049934e-21	0.000011954145189745139
9.072807296556646e-21	0.000012528909330180291
1.0137887471093543e-20	0.00001312656591640195
1.132800014561784e-20	0.000013767644045651038
1.2657823206758864e-20	0.00001442960255210321
1.4143757615993867e-20	0.000015123388513042947
1.580412968583478e-20	0.00001585625902639652
1.7659417101735522e-20	0.000016642670017903983
1.9338262753153244e-20	0.00001794781023393591
2.075362007089906e-20	0.000019520812187241187
2.2272566649090204e-20	0.000021255795189473695
2.3902684131418397e-20	0.00002314498110033329
2.5652109058104402e-20	0.000025159193466170358
2.7529573478484236e-20	0.000027379761364684135
2.9544448536009503e-20	0.00002977940887300497
3.186716764247992e-20	0.000032573751957155425
3.5073227257317014e-20	0.0000355494902749053
3.919056357757324e-20	0.000038797073805554484
4.357085845222546e-20	0.000042173423325075844
4.7713053283439173e-20	0.000045843602635346615
5.14641478538594e-20	0.00005006000196487686
5.486048325610399e-20	0.00005409825687158535
6.034078748026658e-20	0.00005955387497578681
6.758153679217658e-20	0.000056651570290515505
7.551510714690033e-20	0.00005228583061310459
8.438001972260603e-20	0.00004936223918900559
9.454543988265282e-20	0.000049815184265492686
9.949881337576933e-20	0.00005501354074624431
1.0716857488826054e-19	0.00005860454985279489
1.196236787958806e-19	0.00005734921854472563
1.334514300092484e-19	0.000056333802371349996
1.4630053035610485e-19	0.00006128980318760371
1.5593246098353616e-19	0.000053924517686513856
1.6548592351511074e-19	0.00004792356904707397
1.7985205010706028e-19	0.000049482393317899305
1.9152292434364776e-19	0.000054920200649451585
2.0547657979309298e-19	0.00005111674132064721
2.1297059682802533e-19	0.00004607187375163486
2.1567389293605866e-19	0.00003949705006561744
2.199319719414157e-19	0.00004248880915688214
2.451974481952168e-19	0.00004627500577147202
2.541035081644022e-19	0.00005408930076457728
2.6837889194322064e-19	0.0000618418016853063
2.853695381666723e-19	0.00005853421912606206
3.0172416974697074e-19	0.00005295108983712166
3.027222359259904e-19	0.0000488334614066942
3.030715441636263e-19	0.00004456072500817119
3.229173066447054e-19	0.00005352804495862707
3.3469455054912846e-19	0.00006006575440930837
3.401993113178857e-19	0.00006848182501050129
3.608253994852406e-19	0.00009140644735247158
3.626504936075292e-19	0.00007831013933162034
3.7864738772852313e-19	0.00006288809794577135
3.9662635827325207e-19	0.00007002972766239086
4.0318362080522496e-19	0.00005123875693794778
4.0563207290413306e-19	0.000057299195621084294
4.190847566393746e-19	0.00006462621770920573
4.415134855234165e-19	0.00006902823089597183
4.652403572844626e-19	0.00006202124259115503
4.674953048789043e-19	0.00005559466768688088
4.983472847630769e-19	0.00005726884585030054
5.008679795411528e-19	0.00006785880312379066
5.013736464315595e-19	0.0000608343965127722
5.285617934099812e-19	0.00007580968784080369
5.441530786205313e-19	0.0000866240875498393
5.87309345605278e-19	0.00009511169415251285
6.289265020575227e-19	0.00008501950986117569
6.317091550903529e-19	0.0000987053136133749
6.621092666821326e-19	0.00007807710737821249
7.013704532193566e-19	0.00006331714719172549
7.018719434506879e-19	0.00007213024318948937
7.239003883257457e-19	0.00005837936361835661
7.239003883257457e-19	0.00005481957121558231
7.271032484444644e-19	0.00009271726656629554
7.507972396347208e-19	0.00008353351650216688
7.613608262377159e-19	0.0001058553974527162
7.753159992857939e-19	0.00006785880312379066
7.8415236216410985e-19	0.00007712831471383362
8.253711346530091e-19	0.00010602378166966515
8.27356515886698e-19	0.00009290605472855794
8.559052955124374e-19	0.00006616360845157048
8.719232728519e-19	0.00008270780445999153
8.734897663887176e-19	0.00007346950201988883
9.327928158153487e-19	0.00009189201499970853
9.51980682727809e-19	0.00006683047426407687
9.570258074031745e-19	0.00006143359813082654
9.659191971460214e-19	0.00007312224562197775
9.76190484438302e-19	0.00008231953144812349
1.0305304662523284e-18	0.00007638926244579118
1.0371190979021256e-18	0.0000967433589419868
1.0838584146413652e-18	0.00008559435258563439
1.1258247408504306e-18	0.00010802499953145292
1.161805395449011e-18	0.00009439558604655045
1.1952192418521183e-18	0.00011995904770016627
1.2434829856979485e-18	0.00010680441719523394
1.2737671701464722e-18	0.0001223288256283475
1.2756966139858285e-18	0.00008323531479056566
1.2914154396581435e-18	0.00009390543563301432
1.2997347738769623e-18	0.00006633911223481438
1.3364673523123553e-18	0.0000718127659264834
1.4363517518615203e-18	0.00008041614796000545
1.4490609864196401e-18	0.0000941507475991082
1.4777735451058316e-18	0.00011241119345549382
1.4919242313565571e-18	0.00010352590554893512
1.6051615894827453e-18	0.0001228158774166474
1.642749107624774e-18	0.00009585720989148584
1.6715569293943908e-18	0.00011032155594203095
1.7345617508838826e-18	0.0001385849475996929
1.7592398195039148e-18	0.00008806189726219598
1.8066686052019905e-18	0.00012509948696561116
1.8317003183833192e-18	0.0001546484687132673
1.84243242084456e-18	0.00009841673607077871
1.8502770603917124e-18	0.00010352590554893512
1.8677852948732233e-18	0.00011424747634993568
1.929729915468342e-18	0.00008954898502190069
1.9657615048835454e-18	0.00009714885752117812
1.9790300492709425e-18	0.00014176589907200404
2.0588114154936152e-18	0.00010223139654006693
2.0674858415339837e-18	0.00011249469423670247
2.0674858415339837e-18	0.00018882630287529904
2.0674858415339837e-18	0.00016944818676119683
2.076094120583788e-18	0.00012516330142654024
2.1396488880060017e-18	0.0001551408587687503
2.1951424548665355e-18	0.00013740602877796758
2.313525937355435e-18	0.00011606030549411981
2.3543185146692654e-18	0.00014774063904310846
2.381197152474697e-18	0.0000987053136133749
2.4543832890644813e-18	0.00013244726111957914
2.561212506746507e-18	0.00009233938429436743
2.6042858663217014e-18	0.00012312126904235867
2.6147587895730885e-18	0.00010936924034043586
2.6728413953200452e-18	0.00015088505645573192
2.725532331039149e-18	0.00010068599740488388
2.804073033574446e-18	0.00013329200967690104
2.8626821186515104e-18	0.00009637985755077003
2.9006445862252915e-18	0.00010944828501101366
2.911845514206266e-18	0.00012226808012111228
2.9965077359115797e-18	0.00015007451053470394
3.070087365034006e-18	0.00010204077146378499
3.085942820487868e-18	0.00016996691593342174
3.133250376197758e-18	0.00013991290149020468
3.243646057947565e-18	0.00012098039196999984
3.2520789408798044e-18	0.00010834249088974866
3.403535760308206e-18	0.0001615579822924203
3.4104115207368572e-18	0.00017772373478078837
3.4143467613520246e-18	0.0001471965155092528
3.4276617532037564e-18	0.00013531994397644506
3.586290499246831e-18	0.00010879787116662398
3.601400679548379e-18	0.00010218304776378476
3.617588383627354e-18	0.00012184370534474789
3.826180938555701e-18	0.00016677620636884193
3.826180938555701e-18	0.00015259523322066936
3.826180938555701e-18	0.00013982195633007886
3.871490857251842e-18	0.00018714561050772098
3.9998878592778236e-18	0.00011379440432997014
4.046801079090098e-18	0.00012709099658600318
4.1814809972989854e-18	0.00010665761149274036
4.200511539243781e-18	0.00019052208898099265
4.275346155962367e-18	0.00017241192127040716
4.275346155962367e-18	0.00015797985047012942
4.275346155962367e-18	0.00014475584385734806
4.530746452826933e-18	0.00013022930404196363
4.57284949092613e-18	0.00011955233000316912
4.753197841285992e-18	0.0001686421286476919
4.7621994511674795e-18	0.00018882630287529904
4.7772400330346374e-18	0.00015403517819392252
4.8196068578041215e-18	0.0001415626239292675
5.068098833736432e-18	0.00011699740123405556
5.089085525913691e-18	0.00013293937830776716
5.3380525226948844e-18	0.00016343635361555013
5.3607806821923775e-18	0.00018477329852073054
5.3801121913517425e-18	0.00015107170019152064
5.591007388880337e-18	0.0001366932721852623
5.614286364148816e-18	0.00023126656935258184
5.635571179715301e-18	0.00020424208637328893
5.9647002323533054e-18	0.00015684260471884116
5.9790479644324396e-18	0.00017799296764226024
6.051305977445586e-18	0.00014536969297545267
6.2931752012043345e-18	0.00023347313225256444
6.332989782835088e-18	0.00020122124434002078
6.336985068845739e-18	0.0001341776858181229
6.336985068845739e-18	0.0002742791716590441
6.3512109541401604e-18	0.0003091677511011733
6.664911727746379e-18	0.00015889558134477515
6.6851184228456804e-18	0.00014558440328845356
6.711635029130388e-18	0.00017481435912931203
7.009807953791305e-18	0.00020269857861284046
7.013345546269766e-18	0.00013192201408523298
7.017671694972635e-18	0.000186403445844751
7.054156404623938e-18	0.00022590981417851808
7.477443134003293e-18	0.00014826993975575146
7.486980087898604e-18	0.00016628861491063584
7.637584715995421e-18	0.00012379580629908306
7.832707331553654e-18	0.00020505527552068122
7.832707331553654e-18	0.00018789073009668167
7.832707331553654e-18	0.00013492620008890609
7.90715671977066e-18	0.00022861894940504412
8.346812622837188e-18	0.0001661808411516688
8.41658856317515e-18	0.00014899342523810465
8.752208982928353e-18	0.00020535178272627745
8.752208982928353e-18	0.00018816241759751255
8.813564949037069e-18	0.0001411413679454913
8.835026702709117e-18	0.0002276143108617895
9.336082443080858e-18	0.0001531806552843258
9.380938554778935e-18	0.00017054586834953318
9.755013456005444e-18	0.00014177372317321783
9.779653297177075e-18	0.00021152555925018707
9.779653297177075e-18	0.00019381940630743794
9.789526651182515e-18	0.00023952241401123045
1.043733384589337e-17	0.00017730051859631886
1.0486599178414676e-17	0.0001569701350770843
1.0743209218583556e-17	0.0003303360715940981
1.0817997947462332e-17	0.00029470064963743397
1.0817997947462332e-17	0.00027003216610615446
1.0901797195109535e-17	0.00024139402653951822
1.09277119410128e-17	0.0002163164634859403
1.1086379199707943e-17	0.0002034321220958143
1.1369610533559821e-17	0.00015216666559437242
1.1639086232000286e-17	0.00018208419677151965
1.1880646809971959e-17	0.0001647063847372482
1.2155905344271568e-17	0.00028054994936974926
1.2192954939941567e-17	0.00025630505289965446
1.2210544140682798e-17	0.00023201966830078594
1.2210544140682798e-17	0.000212598016623219
1.2261991039249566e-17	0.00031184100582945
1.24176359646376e-17	0.00019628546922214333
1.281652435689006e-17	0.00016558760129607795
1.3080207495114296e-17	0.00017962776585194026
1.3455972010285165e-17	0.0002940891608626945
