# AURIGA
# https://arxiv.org/pdf/1607.07327.pdf
# mass [eV] 	d_e
3.5224208590568764e-12	0.000011717334190900176
3.532920443101712e-12	0.000009803165548640832
3.5439450063487893e-12	0.000007664349174009178
3.5549695695958666e-12	0.0000060550866854474915
3.5717689040676037e-12	0.00000411330704080294
3.5833184465169226e-12	0.000003533850600745294
3.594867988966242e-12	0.0000036490013508487657
3.6064175314155612e-12	0.000004191628639143446
3.61796707386488e-12	0.000004920531250890847
3.6295166163141994e-12	0.0000056843167492618065
3.641066158763519e-12	0.000006377455803418814
3.652615701212838e-12	0.0000070148015831496085
3.6641652436621565e-12	0.00000750059679511755
3.675714786111476e-12	0.000007855347676557336
3.6873809906057374e-12	0.000008250186264678124
3.698813871010114e-12	0.000008391435423198656
3.7097801032347205e-12	0.000008394073827898284
3.7219129559087526e-12	0.000008359839177469871
3.7334624983580715e-12	0.000008157343522205194
3.745012040807391e-12	0.000007892477075700723
3.75656158325671e-12	0.0000075431600218375815
3.7649612504925784e-12	0.000007284482954793699
3.78596041858225e-12	0.000006164565217001101
3.797509961031569e-12	0.000005489384866524273
3.809059503480888e-12	0.000004765255105455622
3.821239020972897e-12	0.0000040076208212617844
3.832158588379526e-12	0.0000033552206993676965
3.843708130828845e-12	0.0000029098726564769962
3.855257673278164e-12	0.0000028608921134112647
3.866807215727484e-12	0.000003364727075886003
3.877831778974561e-12	0.000004287181250518038
3.887806383817155e-12	0.000005330102657040988
3.8983059678619906e-12	0.0000065790579707088565
3.911955427120277e-12	0.000008486942480839848
3.920880073558387e-12	0.000009622637566704083
