# Rb/Quartz comparison
# https://arxiv.org/pdf/2212.04413.pdf Fig. 4
# mass [eV] 1/fa [GeV^-1]
5.288426864637732776e-18 3.700000000000000164e-03
5.288426864637732776e-18 2.469494346814646609e-13
5.964590069115433546e-18 2.265177770242652284e-13
6.727205576100410358e-18 2.416749291616672698e-13
7.587326930889705292e-18 2.663333571943897485e-13
8.557420953616024326e-18 2.780855587919172770e-13
9.651548436545298396e-18 2.856925935302501102e-13
1.088556794481607383e-17 2.919277755028585405e-13
1.227736567456132256e-17 3.131474186541915509e-13
1.384711470003538162e-17 3.413929759708390983e-13
1.561756736734055460e-17 3.603260594831694026e-13
1.761438507278323804e-17 3.803091401439925359e-13
1.986651020575189953e-17 4.191126088983106261e-13
2.240658564715262721e-17 4.447499691285666798e-13
2.527142790372026725e-17 4.848659336751860254e-13
2.850256073593675931e-17 5.286003146877105304e-13
3.214681701409396614e-17 5.731773940583885200e-13
3.625701752596150836e-17 6.215136766493503254e-13
4.089273657486957705e-17 6.849275786216128109e-13
4.612116546498345809e-17 7.467073028896624852e-13
5.201808638934718671e-17 8.184652654125375070e-13
5.866897083647960666e-17 9.068559898135535330e-13
6.617021843611343745e-17 1.015698045321612554e-12
7.463055420021911807e-17 1.083662202487755897e-12
8.417260441129331546e-17 1.181407357098308655e-12
9.493467399923545616e-17 1.323201430890951587e-12
1.070727511685726977e-16 1.506206716549923557e-12
1.207627683316152027e-16 1.677902656377841680e-12
1.362031521180886702e-16 1.799866027453730122e-12
1.536176994217393081e-16 1.951649461048134610e-12
1.732588211700698711e-16 2.162419199152960925e-12
1.954112008332437827e-16 2.307114759991391195e-12
2.203959206995159360e-16 2.383053827593137929e-12
2.485751157245001897e-16 2.654703570017826175e-12
2.803572224083574775e-16 3.005595576078523871e-12
3.162028987794702276e-16 3.294430858487729159e-12
3.566317012903867972e-16 3.458417172917404489e-12
4.022296154026699574e-16 3.873500976887322591e-12
4.536575490108873526e-16 4.245741260136379022e-12
5.116609118116158635e-16 4.579004301222394257e-12
5.793995346715875344e-16 5.082653386022935623e-12
6.508642791352137057e-16 5.775209485930344102e-12
7.370319908356568283e-16 6.597647367818040645e-12
8.279395593348982361e-16 7.523658719908557870e-12
9.434777332410542713e-16 7.807337940442817968e-12
1.047573313039272391e-15 9.148247960803954966e-12
1.187848159099199042e-15 1.085996698896761803e-11
1.350512579665126828e-15 1.178639051254187170e-11
1.497442201103804284e-15 1.258071945035211905e-11
1.690595145150553103e-15 1.430138402088865073e-11
1.902384941923852143e-15 1.636744143445998927e-11
2.180942048128507888e-15 1.917957590901289150e-11
2.445037470492613313e-15 2.318333077164839217e-11
2.772439143020002021e-15 2.782818332227329259e-11
3.110238663837364642e-15 3.111213228933660424e-11
3.507904925555588786e-15 3.531964585153703859e-11
3.932685416042596092e-15 4.309782593714424854e-11
4.136820402388528791e-15 8.381889110753862434e-11
4.498208868676290203e-15 4.774146747593628716e-11
5.032805065460994467e-15 4.254887715279531866e-11
5.676285194368232719e-15 4.324345955114938618e-11
6.460072074166321238e-15 4.518209010094872512e-11
7.220585324990801198e-15 4.935726694743414918e-11
8.143788809981207719e-15 5.588118570373503192e-11
9.185030464501800413e-15 5.410046002742585164e-11
1.025311377810473168e-14 5.685913505347168467e-11
1.196849706109617988e-14 9.458368895034124738e-11
1.362111856374665721e-14 1.026176494818577517e-10
1.517241943109366871e-14 1.041538526573818208e-10
1.703406523067911733e-14 1.173763530914740468e-10
1.944454630036085877e-14 1.295853616182678698e-10
2.184289053333324669e-14 1.496461405359286802e-10
2.485897771547092739e-14 1.537397130121824700e-10
2.778550573830364823e-14 1.696547630061739146e-10
3.133808140568634325e-14 1.545717682418263832e-10
3.562953129720228381e-14 1.608126869399005384e-10
3.974424475235845177e-14 1.735915258012827119e-10
4.419466316903961271e-14 2.068769314090903723e-10
5.070943804864671015e-14 2.553479173545687031e-10
5.688797723024670284e-14 2.544307397695539513e-10
6.275570323763927332e-14 2.225999050446821018e-10
6.829952624796748883e-14 2.869615298747500708e-10
7.634010135924733863e-14 2.922368965554508849e-10
8.610072940354860721e-14 3.151755899181454551e-10
9.763000989628126968e-14 3.613571657214501459e-10
1.095254452364535032e-13 3.786624872894213540e-10
1.224193497391407136e-13 4.243962987877720462e-10
1.327766125932895840e-13 5.377982365490641727e-10
1.404451772678259524e-13 4.607035725762801794e-10
1.461924227342324382e-13 7.315324432028625308e-10
1.519309225175444152e-13 5.768897092509343033e-10
1.629121787649327559e-13 5.465774385860865918e-10
1.704310967660628164e-13 6.580069047757687597e-10
1.837416661837186599e-13 6.340371438442513722e-10
1.922219316365540028e-13 7.975158756778090414e-10
2.148512962056092185e-13 8.836441561943190011e-10
2.148512962056092185e-13 6.782910154519036730e-10
2.337307469596197907e-13 6.782910154519036730e-10
2.445181683424508337e-13 8.221005725416434783e-10
2.678780682646473443e-13 1.082859685127152409e-09
2.733041176254954771e-13 8.804702175869960817e-10
3.082480040969716344e-13 1.014033239899732704e-09
3.182985787624592911e-13 1.405629266583873203e-09
3.435017561660564700e-13 1.073162124981881745e-09
3.598190180042395916e-13 1.506639455364737673e-09
3.984516990560468249e-13 1.290493229849032996e-09
4.002822344005695080e-13 1.717661968687152832e-09
4.317295235589902811e-13 1.483583114977875482e-09
4.317295235589902811e-13 3.700000000000000164e-03
