# MAGIS-100 Upgrade
# https://iopscience.iop.org/article/10.1088/2058-9565/abf719
# mass [eV] 	g_B-L
4.14125e-25 1.11097604107396e-28
4.14129273290714e-18 1.11097604107396e-28
4.14452641311114e-18 1.11097615752881e-28
4.1477626182966794e-18 1.11097627416562e-28
4.15424261150028e-18 1.11097650798623e-28
4.16723298453959e-18 1.11097697782339e-28
4.19333572085935e-18 1.11097792634576e-28
4.246032725025751e-18 1.11097985930313e-28
4.35342176097114e-18 1.11098387313004e-28
4.595686632598079e-18 1.11099329638977e-28
4.8340536188674e-18 1.11100306609103e-28
5.07974287806083e-18 1.1110136529321e-28
5.36039566525948e-18 1.11102638858794e-28
5.63629033484411e-18 1.11103957591894e-28
5.95133936059861e-18 1.11105544425307e-28
6.27776834923072e-18 1.11107279626623e-28
6.59837886798672e-18 1.11109074105527e-28
6.96456604308084e-18 1.11111233047932e-28
7.32474087491127e-18 1.11113470319816e-28
7.69590469853944e-18 1.11115893911244e-28
8.11992367489822e-18 1.11118809289607e-28
8.53661322038109e-18 1.11121826662033e-28
9.01247582500587e-18 1.11125457303357e-28
9.50543140422994e-18 1.11129426153507e-28
9.989435410185841e-18 1.11133528696739e-28
1.05422886855458e-17 1.111384643022e-28
1.1085882156461501e-17 1.11143576677309e-28
1.1706591425355002e-17 1.11149728938848e-28
1.23497986216386e-17 1.11156458188639e-28
1.29816735111191e-17 1.11163419786294e-28
1.3703337031698299e-17 1.11171796149081e-28
1.44132987271591e-17 1.11180479585074e-28
1.51450129021235e-17 1.11189888874596e-28
1.59808824808631e-17 1.11201208829413e-28
1.68024750709622e-17 1.11212929386556e-28
1.77406942841906e-17 1.11227034134444e-28
1.87127310420263e-17 1.11242457850963e-28
1.96673175852264e-17 1.11258407911116e-28
2.07576381202851e-17 1.11277600234386e-28
2.1829919474682403e-17 1.11297488953462e-28
2.2934830894567e-17 1.11319035415563e-28
2.41971268518174e-17 1.11344959303489e-28
2.54374429129516e-17 1.11371791953466e-28
2.68539362109263e-17 1.11404086552999e-28
2.82477490083723e-17 1.11437583753501e-28
2.96844461101048e-17 1.11473898886616e-28
3.1325564369752e-17 1.11517603821946e-28
3.29389878629698e-17 1.11562884958313e-28
3.47813509610275e-17 1.11617401075876e-28
3.6690349978479304e-17 1.11677054717361e-28
3.8565472248237e-17 1.11738792370618e-28
4.0707113081830094e-17 1.11813122935333e-28
4.28137575286677e-17 1.11890219847688e-28
4.49847796948655e-17 1.11973814127926e-28
4.74649143018374e-17 1.12074468952155e-28
4.99023727589095e-17 1.12178768108276e-28
5.26859167361135e-17 1.12304417567892e-28
5.55695778659891e-17 1.12441970478635e-28
