# MAGIS-100 Upgrade
# https://iopscience.iop.org/article/10.1088/2058-9565/abf719
# mass [eV] 	g_B-L
5.84011025085872e-17 1.12584379697942e-28
6.16353468747062e-17 1.12755987718428e-28
6.481567299494291e-17 1.12934083686144e-28
6.84471036182851e-17 1.13148843716495e-28
7.221032960449298e-17 1.13384309143125e-28
7.59075494160056e-17 1.13628534042414e-28
8.01300594546592e-17 1.13923209218983e-28
8.428442933780961e-17 1.14229662813209e-28
8.856628898236708e-17 1.14562846115362e-28
9.34575507025955e-17 1.14965195023664e-28
9.82656506455382e-17 1.15383568132121e-28
1.0375616795903999e-16 1.15889411380747e-28
1.09444848446545e-16 1.16445566060511e-28
1.15031853237869e-16 1.17024044759988e-28
1.21413159110247e-16 1.17724576402943e-28
1.27689384596339e-16 1.1845578075419e-28
1.34156907807428e-16 1.19253989169949e-28
1.41545522445977e-16 1.20222717348784e-28
1.48806061965172e-16 1.21235216827514e-28
1.57097748836423e-16 1.22467078542513e-28
1.65257314757418e-16 1.23760448745713e-28
1.73668331899508e-16 1.2518082541868e-28
1.83275926825937e-16 1.26915625453945e-28
1.92722139208198e-16 1.28742957813858e-28
2.0350854125713098e-16 1.30984040701622e-28
2.14685585661297e-16 1.33489099114866e-28
2.25665164364932e-16 1.36141350650842e-28
2.38205074883021e-16 1.39417125919715e-28
2.50541047257348e-16 1.42913473868315e-28
2.63254605929361e-16 1.46821901637989e-28
2.77778046070435e-16 1.51696203786985e-28
2.92052716893064e-16 1.5695002338549e-28
3.0835389108995995e-16 1.63567185919837e-28
3.25242152613813e-16 1.71193372460265e-28
3.4182640862728803e-16 1.79537253404675e-28
3.60769029310103e-16 1.9024146545615e-28
3.79397334473099e-16 2.02163444344936e-28
3.98591941432671e-16 2.1612239359883e-28
4.2052091736069107e-16 2.34511773537766e-28
4.42066987399999e-16 2.55603570403116e-28
4.58141396393361e-16 2.73659876264946e-28
4.58885592426299e-16 2.74549208201021e-28
4.90885425505633e-16 3.14175002127508e-28
5.15841254698733e-16 3.46931309190626e-28
5.44348282066689e-16 3.86335897744501e-28
5.72372860112272e-16 4.2713918675588e-28
6.04374398868628e-16 4.76237368304302e-28
6.37532453425433e-16 5.29926875269352e-28
6.7010047670229e-16 5.85451879378436e-28
7.07297962178175e-16 6.52253118739803e-28
7.43885816978406e-16 7.21479353840925e-28
7.81590660832363e-16 7.96471194379056e-28
8.246644907523151e-16 8.866780143646e-28
8.669950534586261e-16 9.80041779126296e-28
9.15336530289346e-16 1.09237798917095e-27
9.65415309713691e-16 1.21517748430864e-27
1.01458622119344e-15 1.34211357985391e-27
1.07075124662304e-15 1.4948187203621e-27
1.12597723260669e-15 1.65299130432599e-27
1.18903730352956e-15 1.84332668625122e-27
1.25438416208869e-15 2.05150450320011e-27
1.31858167464076e-15 2.26686377366529e-27
1.3919010416555e-15 2.52596931431402e-27
1.4640337067773e-15 2.79456040938262e-27
1.53837779555151e-15 3.08558387532827e-27
1.62330370651511e-15 3.43566579606029e-27
1.7067815889433802e-15 3.79810747376672e-27
1.80210864077245e-15 4.23421872857112e-27
1.90087342825645e-15 4.71105039954093e-27
1.99786814526155e-15 5.20409235828791e-27
2.10865386029795e-15 5.79724882591561e-27
2.21760994170399e-15 6.4118251479169e-27
2.32988366112098e-15 7.07749909151223e-27
2.4581487625824e-15 7.87821220744219e-27
2.58418427838641e-15 8.70679482994181e-27
2.72812112380369e-15 9.70372873302984e-27
2.8697575581525e-15 1.07374651542005e-26
3.0157544662856e-15 1.18577778577535e-26
3.1825233691826696e-15 1.32054909951554e-26
3.34648293520881e-15 1.46012010229756e-26
3.53370652549285e-15 1.62806712820867e-26
3.72770514847529e-15 1.81173409638155e-26
3.91826694331921e-15 2.00170185290671e-26
4.13591245385422e-15 2.23025245129141e-26
4.35000790478317e-15 2.46712664106439e-26
4.57065000001864e-15 2.72375025029734e-26
4.82270543632901e-15 3.03244424111071e-26
5.07043125395666e-15 3.35197791354132e-26
5.35332871248808e-15 3.73644998598419e-26
5.64640642426436e-15 4.15676641980848e-26
5.9341941438122606e-15 4.59129134246937e-26
6.262910659243759e-15 5.11403603335863e-26
6.58615692323137e-15 5.65555849860462e-26
6.955250594519849e-15 6.30720453392004e-26
7.33774645468684e-15 7.0199941984798e-26
7.71354490571359e-15 7.75745696660686e-26
8.14273260544402e-15 8.64473525729574e-26
8.56500708373712e-15 9.5645998131295e-26
9.000248295565072e-15 1.0561371813129e-25
9.49743008949473e-15 1.17604397551124e-25
9.98617360412981e-15 1.30019824116777e-25
1.05442809351914e-14 1.4495903447623e-25
1.11225415412514e-14 1.61294449875002e-25
1.16904841160879e-14 1.78187134170013e-25
1.23391659814267e-14 1.9851026226831e-25
1.29771853619124e-14 2.19569678870974e-25
1.36346634030685e-14 2.42381904056513e-25
1.43857723831061e-14 2.69822225237489e-25
1.5123884066519e-14 2.98220867956538e-25
1.59668169013147e-14 3.32390069911652e-25
1.68400184051847e-14 3.69740031897314e-25
1.76973471593541e-14 4.08345422243393e-25
1.86766349026322e-14 4.54787593748004e-25
1.96395023852342e-14 5.02889201399124e-25
2.0738969867237e-14 5.60771213929647e-25
2.18782757987967e-14 6.24076078959043e-25
2.29974877750312e-14 6.89560131866467e-25
2.42757441084508e-14 7.68345323957609e-25
2.55332499649215e-14 8.50009039948376e-25
2.6829269880764898e-14 9.38488724177769e-25
2.83097778714519e-14 1.04492296531351e-24
2.97649708160802e-14 1.15510715198252e-24
3.14267384231798e-14 1.28768599478415e-24
3.3148384802864906e-14 1.43263677187012e-24
3.48390917406314e-14 1.58250466690049e-24
3.67702114569829e-14 1.76280228795173e-24
3.86693455612795e-14 1.94959766039954e-24
4.06262492023923e-14 2.15191348476494e-24
4.28619064959741e-14 2.39526914325049e-24
4.50585936549985e-14 2.64707725247355e-24
4.75673142661138e-14 2.95004481059473e-24
5.00358199708633e-14 3.26417469167465e-24
5.2580247095099096e-14 3.60459599718432e-24
5.54867227440553e-14 4.01411212829105e-24
5.83440963847775e-14 4.43818280748423e-24
6.16069362909263e-14 4.94846581584319e-24
6.49877523816852e-14 5.50648403977073e-24
6.83085102584804e-14 6.08360458464532e-24
7.210127774125e-14 6.777933022601e-24
7.58319982209429e-14 7.49749786647487e-24
7.96766838240087e-14 8.27701707765157e-24
8.40688004874798e-14 9.21469685565561e-24
8.838525986344911e-14 1.01852346064899e-23
9.33146186981628e-14 1.1353002207112e-23
9.84212190006879e-14 1.26295777287863e-23
1.0343539692045e-13 1.39492134986273e-23
1.09162753409797e-13 1.55367548569658e-23
1.14794523333909e-13 1.71812077334551e-23
1.21225143567922e-13 1.91600555976759e-23
1.27889078023863e-13 2.13244708669631e-23
1.3443600480027e-13 2.35636490446119e-23
1.41913133301559e-13 2.62576907189512e-23
1.49269463567246e-13 2.90504788135883e-23
1.5685146034402098e-13 3.20766114653803e-23
1.65512581056861e-13 3.57168683678538e-23
1.74026284396228e-13 3.94858095240544e-23
1.8374838665659498e-13 4.40208495724437e-23
1.938212690075e-13 4.89794851956154e-23
2.0371392782913e-13 5.41069178889381e-23
2.15013071261239e-13 6.02755353236668e-23
2.2612594490024997e-13 6.66671884391006e-23
2.37577406903756e-13 7.35904784185238e-23
2.5065982454975e-13 8.19182778028399e-23
2.63515227604635e-13 9.05363087461342e-23
2.78196429795829e-13 1.00905410876606e-22
2.92643430765474e-13 1.11657759672223e-22
3.07535473710742e-13 1.23310990716097e-22
3.24546184027251e-13 1.37329666357865e-22
3.41270845005444e-13 1.51848227313624e-22
3.60368414353461e-13 1.69318646592146e-22
3.80157410882964e-13 1.88424891126494e-22
3.99596425948512e-13 2.08187447758469e-22
4.2179806158422894e-13 2.31963957641345e-22
4.43638221588504e-13 2.56607450645168e-22
4.66146623771247e-13 2.83306433448522e-22
4.91859405777426e-13 3.15422966764952e-22
5.17131282681588e-13 3.48668706950401e-22
5.45991007659712e-13 3.88671172776149e-22
5.7588979286947e-13 4.32404408367353e-22
6.05249812973383e-13 4.77617992122667e-22
6.38785128882613e-13 5.32011407773189e-22
6.71763374738244e-13 5.8836115873031e-22
7.05743778153994e-13 6.49389806023971e-22
7.44565046716964e-13 7.2279749689471e-22
7.827077298103951e-13 7.98749494537978e-22
8.26268985197915e-13 8.90131670880305e-22
8.69129861628595e-13 9.84874048952236e-22
9.13307666593861e-13 1.08754079597006e-21
9.63772178414116e-13 1.21104455424994e-21
1.01338170340883e-12 1.33892875430085e-21
1.0700315494078e-12 1.49280993387185e-21
1.12872805079905e-12 1.66107784957586e-21
1.18637898482785e-12 1.83509368602297e-21
1.25222515133498e-12 2.04444859689529e-21
1.3169909528196198e-12 2.26139763584241e-21
1.38373323430623e-12 2.49641103979489e-21
1.45997965066024e-12 2.77910500192929e-21
1.53490897314971e-12 3.07168446096419e-21
1.6204785912735e-12 3.42371768589453e-21
1.70912246175709e-12 3.80853292429761e-21
1.7961576717646102e-12 4.20630021177735e-21
1.89557330384943e-12 4.68481578273634e-21
1.99332494450851e-12 5.18045080443476e-21
2.10494362886805e-12 5.77686595297108e-21
2.2206087626824e-12 6.42917798903416e-21
2.33423738508021e-12 7.1039744624469e-21
2.46401213288054e-12 7.91584049716035e-21
2.59168404577591e-12 8.75740553220919e-21
2.72326860766087e-12 9.66923933841875e-21
2.87358305921941e-12 1.07661111716182e-20
3.0213317969346696e-12 1.19016779188196e-20
3.19005329174244e-12 1.32680539034577e-20
3.36485742026322e-12 1.47619824176169e-20
3.53652543950395e-12 1.63066565286252e-20
3.73260262189754e-12 1.81649775008782e-20
3.92543796840928e-12 2.00903539584968e-20
4.1241427776742e-12 2.21757713467966e-20
4.35115060648137e-12 2.46842298817455e-20
4.5742082324581394e-12 2.727992758031e-20
4.8289487578376e-12 3.04030073549005e-20
5.07961333219532e-12 3.36412914489399e-20
5.33799205584661e-12 3.71507167427311e-20
5.63313348033975e-12 4.13724686108817e-20
5.92329759847733e-12 4.57444548927495e-20
6.254634185292869e-12 5.10052850589695e-20
6.59795708790972e-12 5.67584234760573e-20
6.93519139031044e-12 6.27087656517155e-20
7.32035706758357e-12 6.9867609028692e-20
7.69923315540773e-12 7.72869722193706e-20
8.08969017584175e-12 8.53247704936362e-20
8.5357395865875e-12 9.49934508135755e-20
8.974118841930031e-12 1.05001374383907e-19
9.47474055122424e-12 1.17043150553212e-19
9.99337184938464e-12 1.30207333754124e-19
1.0502632289792302e-11 1.43816154452049e-19
1.10843217520289e-11 1.60187859579158e-19
1.16563204637494e-11 1.77147206599078e-19
1.2309451009654e-11 1.97555315355133e-19
1.29862901159175e-11 2.19877885796956e-19
1.36512653738116e-11 2.42972526214495e-19
1.44107162834546e-11 2.70758741338407e-19
1.51579202695191e-11 2.99564666620277e-19
1.59280598923756e-11 3.30778376121106e-19
1.68078046616431e-11 3.6832681272948e-19
1.7672601957208e-11 4.07204287858809e-19
1.86601379484075e-11 4.53984526530493e-19
1.96833228274189e-11 5.05135837944898e-19
2.06882317504014e-11 5.58030704549859e-19
2.18360047462759e-11 6.21666851815947e-19
2.29648905134767e-11 6.87606714876345e-19
2.41281925333339e-11 7.59033475824216e-19
2.54571657672998e-11 8.44950858918334e-19
2.6763117639848104e-11 9.33866414732629e-19
2.82545377135834e-11 1.04084908000323e-18
2.97994960865809e-11 1.15778839204464e-18
3.13163419123547e-11 1.27865506357012e-18
3.30489740668574e-11 1.4240568110972e-18
3.47525222673675e-11 1.57464990482188e-18
3.66977576778674e-11 1.75586211284335e-18
3.8713455566695e-11 1.95404799749385e-18
4.069356511387009e-11 2.15905064520591e-18
4.29550660546219e-11 2.40569260465124e-18
4.51798135798895e-11 2.66133913262012e-18
4.74726733768144e-11 2.93831755111919e-18
5.00919333777563e-11 3.27150011049307e-18
5.26663584983184e-11 3.61641225926432e-18
5.56062538711502e-11 4.03142539298106e-18
5.86520500524147e-11 4.48515796974207e-18
6.16430539498634e-11 4.9542696879905e-18
6.5059384016506e-11 5.51862958476737e-18
6.8419065678764e-11 6.10331280932972e-18
7.18809060429985e-11 6.73656393663538e-18
7.58358914841481e-11 7.49826773889198e-18
7.972186353284529e-11 8.28640650568738e-18
8.41598471099387e-11 9.23466672133758e-18
8.85266082847236e-11 1.02178377354249e-17
9.30276230201093e-11 1.12832756818616e-17
9.8169114478652e-11 1.25649596344771e-17
1.03223650653087e-10 1.38921600977007e-17
1.08995459286245e-10 1.54891705658716e-17
1.14975897491857e-10 1.7235542884608e-17
1.2084998549236e-10 1.90416490218099e-17
1.27559041509808e-10 2.12145510359566e-17
1.34158218815408e-10 2.34663702121204e-17
1.40958909499397e-10 2.59057645005167e-17
1.48727962801825e-10 2.8840089857423e-17
1.56363044890156e-10 3.18771575280083e-17
1.6508228023035004e-10 3.55313958235432e-17
1.74114929109925e-10 3.95260459716987e-17
1.8298393108878e-10 4.36553281946742e-17
1.93114439006546e-10 4.86228985000956e-17
2.03075687397419e-10 5.37684125514958e-17
2.14449958960544e-10 5.99602293861433e-17
2.26236781732397e-10 6.6732559008593e-17
2.378164285368e-10 7.37386285720189e-17
2.5104139615017e-10 8.2167870889575e-17
2.64052462574912e-10 9.09058422461099e-17
2.77462512065323e-10 1.00373710414104e-16
2.92781246961543e-10 1.11762951653439e-16
3.0783896487939e-10 1.2355448953626e-16
3.25033986385855e-10 1.37742797568248e-16
3.42849223213225e-10 1.5325607203614e-16
3.60345378965454e-10 1.69297000987769e-16
3.80329134132027e-10 1.88595158713852e-16
3.99983083445992e-10 2.08590535362341e-16
4.2023562322534396e-10 2.30248643339196e-16
4.43372707146465e-10 2.56300386951357e-16
4.66107872590624e-10 2.83259332378217e-16
4.92072133569898e-10 3.15695864835985e-16
5.17621725378792e-10 3.49330369144094e-16
5.43958079854528e-10 3.85782226146494e-16
5.74041404636774e-10 4.2963315392547e-16
6.03618298154605e-10 4.75046523112066e-16
6.37391731041252e-10 5.29692959826345e-16
6.72387552092224e-10 5.89455032968402e-16
7.06763798509163e-10 6.51268305054332e-16
7.46025681399021e-10 7.25636143800128e-16
7.84647601486603e-10 8.02713660408859e-16
8.24450785889059e-10 8.86218523616769e-16
8.69920712733834e-10 9.86667205840146e-16
9.14610111339326e-10 1.09064483601491e-15
9.65644287325819e-10 1.21575398528891e-15
1.01851531591842e-9 1.35252866724971e-15
1.07043264251637e-9 1.49392928029992e-15
1.12973341623268e-9 1.66403823314559e-15
1.1880480263655e-9 1.8402606724411e-15
1.25463347219976e-9 2.05232006139622e-15
1.3236371680922001e-9 2.28427958407319e-15
1.3914334174517197e-9 2.52427234601691e-15
1.46886118758984e-9 2.81302026953232e-15
1.54504265272047e-9 3.11237771446186e-15
1.62356395953262e-9 3.43676751727588e-15
1.71325962948166e-9 3.82699340362407e-15
1.80143398858366e-9 4.23104900821835e-15
1.90212202326376e-9 4.71724137027038e-15
2.00644660394064e-9 5.24887903327987e-15
2.10891089801894e-9 5.79866224181474e-15
2.2259412919602e-9 6.4600928846759e-15
2.34104936889606e-9 7.14549789153417e-15
2.4596689008724e-9 7.88795911554853e-15
2.59518055346195e-9 8.78105115455651e-15
2.72834884444434e-9 9.7053487722061e-15
2.88042829396808e-9 1.08174647145612e-14
3.03796978214212e-9 1.20331200684319e-14
3.1926493537283097e-9 1.32896577468673e-14
3.36933230880238e-9 1.48012721364669e-14
3.5430547361069e-9 1.63669243167336e-14
3.74142227346408e-9 1.82509218484029e-14
3.94697889571839e-9 2.03114514569471e-14
3.94994378531593e-9 2.03419780096329e-14
3.95291090207773e-9 2.03725504413846e-14
3.95885182378737e-9 2.04338332180001e-14
3.970760466874e-9 2.05569523608926e-14
3.99468532816153e-9 2.0805420590633e-14
4.04296837977507e-9 2.13114029231567e-14
4.04600537470438e-9 2.13434323261524e-14
4.049044650962e-9 2.13755098668827e-14
4.05513005431818e-9 2.14398096510448e-14
4.06732831245873e-9 2.15689900627598e-14
4.09183502005246e-9 2.18296906123402e-14
4.09490872259973e-9 2.18624989619554e-14
4.09798473404933e-9 2.18953566200023e-14
4.10414369059435e-9 2.1961220157929e-14
4.11648938691314e-9 2.20935422031308e-14
4.11958160931516e-9 2.21267471014371e-14
4.12267615453124e-9 2.21600019041572e-14
4.12887222038624e-9 2.22266615229613e-14
4.13197374451881e-9 2.22600664893887e-14
4.1350775984527e-9 2.22935216609169e-14
4.13818378393801e-9 2.23270271130003e-14
4.14129230272615e-9 2.23605829212069e-14
